VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK
5,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300,"21Sep2015 0:00:00,000",,1084,101,1084,"Strandlodsvej 41, 2300 Denmark",55.664181,12.622773,2015-09-21,,2015,2025,2015,POINT (12.622773 55.664181),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
9,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561,"01Aug2015 0:00:00,000",,1084,101,1084,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,,2015,2025,2015,POINT (12.5655 55.6759),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
10,090-3,Apotek Humletorvet,7,Humletorvet 23,1799,"01Nov2016 0:00:00,000",,1084,101,1084,"Humletorvet 23, 1799 Denmark",55.664466,12.536175,2016-11-01,,2016,2025,2016,POINT (12.536175 55.664466),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
12,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500,"02May2016 0:00:00,000",,1084,101,1084,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.5116682,2016-05-02,,2016,2025,2016,POINT (12.5116682 55.6647453),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
14,090-4,Apotek Vesterbro,7,Vesterbrogade 60,1620,"13Feb2017 0:00:00,000",,1084,101,1084,"Vesterbrogade 60, 1620 Denmark",55.6727,12.553288,2017-02-13,,2017,2025,2017,POINT (12.553288 55.6727),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
95,341-4,Brønshøj Apotek,7,Højenhald 2,2700,"29Apr2016 0:00:00,000",,1084,101,1084,"Højenhald 2, 2700 Denmark",55.705346,12.507615,2016-04-29,,2016,2025,2016,POINT (12.507615 55.705346),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
137,029-2,Fields Apotek,7,Arne Jacobsens Allé 12,2300,"20Jul2015 0:00:00,000",,1084,101,1084,"Arne Jacobsens Allé 12, 2300 Denmark",55.6305777,12.5767812,2015-07-20,,2015,2025,2015,POINT (12.5767812 55.6305777),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
188,323-2,Gyldenrisparkens Apot,7,Amagerbrogade 264,2300,"01Sep2015 0:00:00,000",,1084,101,1084,"Amagerbrogade 264, 2300 Denmark",55.642544,12.615792,2015-09-01,,2015,2025,2015,POINT (12.615792 55.642544),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
266,183-1,Hovedbanens Apotek,7,Bernstorffsgade 16,1577,"04Sep2017 0:00:00,000",,1084,101,1084,"Bernstorffsgade 16, 1577 Denmark",55.6726833,12.5641888,2017-09-04,,2017,2025,2017,POINT (12.5641888 55.6726833),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
276,341-5,Husum Bypark Apotek,7,Frederikssundsvej 284 (i Føtex),2700,"01Sep2017 0:00:00,000",,1084,101,1084,"Frederikssundsvej 284 (i Føtex), 2700 Denmark",55.7057,12.4964,2017-09-01,,2017,2025,2017,POINT (12.4964 55.7057),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
348,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
349,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
352,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
353,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
358,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
361,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.666133),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
367,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2017,20109048.332,6854904.8545,35.39,0.1027152007,0.1757249449,216421.85145,0.5484713524,0.7292249237,0.7533140634
