VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK
348,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
349,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
350,341-1,København Apoteket R,7,Lyngbyvej 155,2100,02.07.2008,,1084,101,1084,"Lyngbyvej 155, 2100 Denmark",55.717963,12.556353,2008-02-07,2009-06-30,2008,2009,2008,POINT (12.556353 55.717963),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
352,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
353,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
358,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
360,329,København Dyveke Apo,6,Øresundsvej 53,2300,"01Jan1932 0:00:00,000",31-MAY-2010,1084,101,1084,"Øresundsvej 53, 2300 Denmark",55.660788,12.614192,1932-01-01,2010-05-31,1932,2010,2008,POINT (12.614192 55.660788),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
361,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.666133),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
367,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
370,340,København Hamlets Ap,6,Hamletsgade 2,2200,"01Jan1937 0:00:00,000",01-JUN-2009,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,1937-01-01,2009-06-01,1937,2009,2008,POINT (12.547708 55.703088),2008,32175513.681,10420720.827,36.10,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009
