,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
120,,,40.45,0.1741059622,0.21498045899999998,186088.83106,0.5024594268,0.7554913295,0.8768519337,2,Ringsted,329,33573,2015
122,35584648.761999995,12600830.31,41.98,0.20701305350000002,0.1965062708,162989.04322999998,0.4605161886,0.7052855577,0.8954025348000001,4,Slagelse,330,77293,2015
126,,,44.26,0.23499550760000001,0.1919137466,180742.66242,0.4857490207,0.7564807540999999,0.9375028142,2,Stevns,336,22038,2015
128,17380876.75,6218708.06,42.24,0.20035202920000003,0.2147378398,181264.38308,0.48155682130000005,0.7485952615000001,0.9422972606000001,3,Sorø,340,29331,2015
131,,,42.29,0.2105282425,0.2268550719,205406.4115,0.5043280515999999,0.7994134897,0.9376833920000001,1,Lejre,350,27172,2015
132,21553423.762,7918993.9875,46.83,0.2750598058,0.1694497866,136835.7417,0.3944397403,0.6292249047,0.9254398344,4,Lolland,360,43024,2015
136,21801972.6,7959989.835,41.82,0.2010760001,0.2043185738,172557.58129,0.4739615661,0.7266812611,0.9193106722,6,Næstved,370,81687,2015
142,15548018.143,5657142.4929,45.24,0.2523655685,0.17627379920000003,148302.30053,0.4308246439,0.6789846313,0.9277490871999999,7,Guldborgsund,376,60829,2015
149,21260464.612,7695336.6375,45.03,0.25103698210000003,0.1871588875,153856.01507,0.4298023093,0.687349257,0.9358161302,4,Vordingborg,390,45471,2015
153,23535306.25,8690259.53,46.95,0.2735436161,0.1706157561,142501.42787,0.4247738554,0.6808375634999999,0.9416433593000001,3,Bornholm,400,39828,2015
156,,,42.85,0.2165220373,0.2129612534,179762.16774,0.4812256887,0.7564019299,0.9353285173999999,2,Middelfart,410,37857,2015
158,16659743.662999999,6117428.3325,43.02,0.2187560644,0.2107995343,162453.58139,0.4630246179,0.7296537626,0.9409949209,4,Assens,420,41046,2015
162,,,43.53,0.2306971661,0.2065539855,157484.74709000002,0.45606179119999996,0.7242505298,0.939460305,2,Faaborg-Midtfyn,430,50953,2015
164,,,43.78,0.23492462309999998,0.2012981575,163382.31362,0.4480674808,0.7168167945,0.9275252843,2,Kerteminde,440,23728,2015
166,,,43.35,0.2269334504,0.2019067929,155336.78759000002,0.4359465829,0.6953318304,0.9215710919,2,Nyborg,450,31573,2015
168,26023858.459000003,9487349.9073,38.83,0.1668878033,0.1923084655,161808.69254000002,0.4559299918,0.6670909948,0.8471668740999999,11,Odense,461,197480,2015
