,Kommune,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,yderkom,antal_apo
0,101,32175513.680999998,10420720.827,36.1,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009,518574,0,26
26,147,35360723.52,11353348.05,39.68,0.1608666828,0.1665596818,199421.11807,0.5406592709,0.7648697568,0.8450692298,95029,0,5
31,151,32632761.25,10439521.77,40.04,0.1811468838,0.2276256382,167726.09768,0.49253920619999997,0.7681759748999999,0.8795705288,47398,0,3
34,153,,,40.57,0.1753746816,0.21743380129999998,155595.38275999998,0.4788105413,0.7330208485999999,0.7560244539000001,33762,0,2
36,155,,,42.38,0.19588397579999997,0.2345089852,198542.33728,0.5137134743,0.8202335651,0.9352813690999999,13411,0,1
37,157,36160684.537,11470844.317,40.86,0.175287274,0.2351204975,251882.94016,0.5209615274,0.8075544393,0.8886364943,69794,0,4
41,159,44151196.15,14070578.78,39.34,0.1594420635,0.2292948302,179838.07838,0.5188743559000001,0.7898528192000001,0.8663020214,63233,0,3
44,161,,,40.64,0.1782654227,0.2011614623,179993.74482,0.5307446453,0.8013824884999999,0.8759242475,21008,0,1
45,163,,,40.58,0.17852449780000001,0.2221888493,167780.48757,0.5096327514,0.7875745215000001,0.8565999398,26635,0,1
46,165,,,37.05,0.12950263480000002,0.242582834,157847.19590999998,0.5034053036,0.7418890105,0.7446384582,27706,0,1
47,167,,,39.55,0.1635336061,0.2242028927,169780.15439,0.517775567,0.7910660437,0.8608612673,49366,0,2
49,169,,,38.03,0.1366877637,0.23757383969999998,174855.3633,0.5236261295,0.7733599081,0.8021457139,47400,0,2
51,173,35098690.3,11226203.43,41.67,0.19356904449999998,0.2112473803,208528.65097000002,0.5124379079,0.7992857377,0.8972630759,51532,0,3
54,175,,,40.72,0.1857403114,0.2145854036,167429.37365,0.5089757420000001,0.7899078341,0.8623350759,36228,0,1
55,183,,,36.74,0.1136057044,0.2446039699,159187.89103,0.5094750073,0.7374717833,0.6840375133,20756,0,1
56,185,,,40.88,0.17280051719999998,0.22049534989999997,174771.70145999998,0.5190056295000001,0.7996061862,0.9043491256999999,40214,0,2
58,187,,,39.18,0.1472502806,0.2392817059,196876.81660999998,0.5554639484,0.8360795801,0.8504721931,13365,0,1
59,190,,,40.13,0.1723008663,0.2572100148,207520.34128,0.5148965444,0.8206471352,0.8875747473000001,37864,0,2
61,201,,,39.03,0.1520507116,0.2704756307,213358.37716,0.5415824915999999,0.8565916867,0.9371632997,23821,0,1
62,210,26975744.6,8632658.74,40.0,0.15262138890000002,0.2471085749,197648.21763,0.5206056582999999,0.7939538246,0.8710039831999999,39254,0,3
65,217,34443309.75,11222247.652,41.05,0.1784351301,0.22822793309999997,172659.82447,0.49848957479999995,0.7691435524,0.8892792645,61053,0,4
69,219,,,38.69,0.1517597332,0.2540940082,189560.81184,0.5334099421,0.8251190093,0.9123893429000001,47081,0,2
71,223,,,43.27,0.2199095023,0.22731386260000003,241338.16017,0.5078153998,0.8154810779,0.9148348248999999,24310,0,1
72,230,35739942.55,11375090.6,41.57,0.1967726978,0.2411944728,234907.38512,0.5008759832,0.8071789081999999,0.9038841465999999,53915,0,3
75,240,,,37.77,0.1307547952,0.2706246497,204045.99144,0.5561116129,0.8542668514,0.9420208481,41031,0,1
76,250,,,40.32,0.1705916919,0.237399991,177660.33305,0.5234753475,0.811212596,0.9441753067,44246,0,2
78,253,,,39.44,0.1488185856,0.2465224917,191460.70223,0.5343379034,0.8084136359,0.8929526834999999,47951,0,2
80,259,26241080.25,8544974.4825,38.88,0.14860681109999999,0.2457430341,175514.88900999998,0.5225058577,0.7953257173,0.9160192379000001,56848,0,4
84,260,,,41.75,0.1803437268,0.2141360075,160913.96365999998,0.5002908104,0.7682913823,0.9181207186,31013,0,2
86,265,48466804.55,15593473.3,39.44,0.15624038880000002,0.2299317217,188517.54535,0.5323215012,0.8023216115,0.9163574044,81285,0,3
89,269,,,38.93,0.138842019,0.2544472834,202242.03227999998,0.5483512770000001,0.8317162399,0.9434171776000001,20743,0,2
91,270,,,41.67,0.17813276879999998,0.2273365004,172876.9017,0.5200197360000001,0.7923612839,0.9504625631999999,40627,0,2
93,306,,,44.11,0.21466268579999997,0.1981362526,138718.75337,0.46587546049999995,0.7169074179,0.9579633992000001,33159,0,2
95,316,47984108.1,15439181.73,39.41,0.1506874928,0.2364515016,165097.63838,0.5195061515,0.7801709964,0.9280548593000001,69528,0,3
98,320,22254821.5,7200574.75,40.43,0.1620157445,0.23187833300000002,165589.68874,0.5208951428,0.7907117570000001,0.961459128,35441,0,3
101,326,34838524.1,11212025.4,40.95,0.1731167447,0.2265334432,151934.36964000002,0.4919260661,0.7543065889,0.9509926308,49741,0,3
104,329,,,38.66,0.1427778805,0.23722335239999998,170817.71417,0.5328020756,0.7961174714,0.9067210279000001,32442,0,1
105,330,36860502.525,12050186.542000001,40.39,0.1697328841,0.2187794518,151654.65185,0.49726408380000003,0.7491173548000001,0.9193971929000001,77457,0,4
109,336,,,41.94,0.1807453982,0.21783306,170686.98893,0.5208323826,0.7915971485,0.9618034956,21948,0,1
110,340,15168559.125,4869570.5175,40.07,0.16145020029999999,0.2381356508,162575.96772000002,0.5113520495,0.7879250834999999,0.9587043709,29458,0,4
114,350,,,39.79,0.1512435581,0.25252072600000003,187556.36233,0.5394225015,0.8310751474,0.9593058049,26778,0,1
115,360,40373891.35,13159015.79,44.47,0.21961178469999998,0.1905061038,126383.41795,0.4365668512,0.6727421303,0.9414108371,47757,0,3
118,370,29851585.29,9642293.214,40.18,0.1628085085,0.2225461373,158722.31749000002,0.5131546382,0.7725196676,0.9390283140000001,80954,0,5
123,376,23043225.375,7448910.12,43.4,0.20632484850000002,0.1956305073,138454.51801,0.47556724549999996,0.7270825609999999,0.9468246926,63211,0,6
129,390,25566005.737,8235862.995,42.94,0.2000816309,0.2091469571,140144.50900999998,0.4699681611,0.7301281118,0.9543929094,46551,0,4
133,400,28365790.3,9437677.07,44.07,0.2090313183,0.2011606325,130495.97609000001,0.4456023147,0.6903176944,0.9613511797,42563,0,3
136,410,,,40.74,0.17310299,0.2360664452,161405.71277,0.5119060303,0.7856820845999999,0.9551992329000001,37625,0,2
138,420,,,40.68,0.171714774,0.2388909989,148804.20832,0.5006776518,0.7735666479000001,0.9648572176000001,42128,0,2
140,430,,,41.67,0.18762953870000001,0.22808397940000003,147680.1066,0.49911555469999996,0.7696230015000001,0.9608152278000001,52108,0,2
142,440,,,41.48,0.187955359,0.22960623289999998,152094.41154,0.49622474369999997,0.7728720323999999,0.9558780106999999,23745,0,2
144,450,,,41.6,0.1868260074,0.2221731727,146932.07318,0.48331175600000004,0.7495193335,0.9417727115000001,31714,0,2
146,461,33262377.968000002,10741985.362,38.53,0.1491946427,0.2078284884,151133.39269,0.4971703799,0.7246856167,0.8704348706999999,187929,0,11
157,479,28990601.961999997,9339628.125,41.05,0.1752302104,0.21588240260000002,148460.24898,0.4861057017,0.7305297681999999,0.9378524376,59185,0,4
161,480,18281078.5,5960225.86,40.67,0.17156251050000002,0.2337526559,148121.21827,0.5077911104,0.7790591978,0.9647456481000001,29651,0,3
164,482,,,47.2,0.25665413260000003,0.17252820170000002,125060.89141,0.44876716369999997,0.6987842731999999,0.9585117378,13563,0,2
166,492,,,48.32,0.27470886829999996,0.1652732159,125351.52884000001,0.4446273571,0.7006675567,0.9543549834999999,6698,0,1
167,510,27964621.312,8962065.0075,40.51,0.1743469951,0.2272244638,151742.64142,0.5098164405,0.7795977607,0.9318435754000001,56508,0,4
171,530,,,39.7,0.16516104439999998,0.24116638079999997,161302.54248,0.5348988163,0.8115839547,0.9417716686,26235,0,1
172,540,32675732.16,10536062.106,41.06,0.1901605615,0.2241089683,148479.13439000002,0.4855437735,0.7628022125,0.9027893856999999,76793,0,5
177,550,20585253.412,6600176.3925,41.4,0.18355878260000003,0.22515914059999997,139244.594,0.502992071,0.7672937405,0.9290629831,40216,0,4
181,561,48846996.93,15688986.012,39.51,0.1552336489,0.2228544003,160790.94465,0.5145801647,0.7583407083,0.920779357,114595,0,5
186,563,,,45.85,0.2132834425,0.1942625507,162382.97277,0.5053125,0.7539515279000001,0.9440625,3207,0,1
187,573,30892008.45,10127369.88,40.01,0.1709559188,0.2398018821,153467.95932999998,0.5378843520000001,0.8195865876999999,0.9460865076999999,50475,0,3
190,575,20832722.1,6718092.2625,39.43,0.1677762983,0.24612796969999998,150841.25204000002,0.523706947,0.8092709415,0.9456320681999999,42807,0,4
194,580,28788705.0,9398323.44,40.65,0.1716286925,0.2287720228,150689.00332000002,0.49592591979999995,0.7594831640999999,0.8975090858,60392,0,4
198,607,36949447.5,11871805.67,39.93,0.166934997,0.2247735963,164619.57066,0.5072589425999999,0.7686065384,0.9255555107,49690,0,3
201,615,26852385.2,8699574.35,38.65,0.146790903,0.22610188190000002,159855.12179,0.5244537068999999,0.7741427503,0.9074261333,81565,0,6
207,621,35482232.07,11395226.484000001,38.72,0.1507585942,0.23084309579999998,169612.93055999998,0.5360309856000001,0.7967097317,0.9167940747,88519,0,5
212,630,33655243.275,10924909.865,39.08,0.1547825923,0.2380624079,169396.18884000002,0.5331212965,0.8026133408,0.9225118797,105884,0,6
218,657,53255946.35,17266989.73,38.52,0.148127721,0.23747609050000001,158810.59844,0.5363194845,0.7958523847,0.9277843762000001,85217,0,3
221,661,25622237.475,8378793.6825,38.96,0.1555869873,0.2341837358,159547.43899,0.5377776222,0.8015361247,0.9410014526,57267,0,4
225,665,,,41.36,0.1870044655,0.2321607582,147325.87673,0.5154130703,0.7966514698999999,0.9641960086,21946,0,1
226,671,,,40.75,0.1708329653,0.2308983305,155937.85232,0.5093780412,0.7749279326,0.9415641865000001,22642,0,1
227,706,21348156.937,6853689.18,41.48,0.17993900370000002,0.23076923079999997,156825.598,0.5078741113,0.7796665981,0.9527795977,41314,0,4
231,707,,,41.87,0.1865069028,0.2145610836,145053.85559000002,0.5014349074000001,0.7553552768999999,0.9520740934,38390,0,2
233,710,27668031.15,8988066.77,37.9,0.1361788618,0.2670818198,170203.29437000002,0.5409463148,0.8297841466,0.9637765934,46248,0,3
236,727,,,40.27,0.1662112722,0.2413282082,162662.71678,0.5211274146,0.8032093933,0.9509658247,21593,0,1
237,730,62255928.75,20329787.98,39.98,0.16506935820000002,0.22170216829999997,156060.79689,0.514078217,0.7694720244,0.9463773047,94221,0,3
240,740,41600561.025,13501020.158,38.75,0.1478594801,0.2448645701,176870.08250999998,0.5350092219,0.8062274012999999,0.9479472642,88016,0,4
244,741,,,46.91,0.2503122658,0.1936047964,128177.59698,0.45945945950000006,0.7261690647,0.9504504505,4003,0,1
245,746,,,37.8,0.1271099654,0.2682392824,180256.85094,0.545359639,0.8286415855,0.9557462620999999,56636,0,2
247,751,46996831.075,15024907.947,36.83,0.1241994858,0.20275727149999997,161785.19949,0.5243918247,0.7349129092,0.8638963767,302618,0,12
259,756,24199679.75,7947220.44,39.07,0.1536489446,0.2421843887,156911.56672,0.5354299264,0.7998761354,0.9294147011,40176,0,3
262,760,26493974.85,8648361.03,39.54,0.1653827186,0.24565073210000002,155120.12824000002,0.541690813,0.8191707895999999,0.9407192773,58803,0,4
266,766,28017384.95,9123072.19,38.91,0.1543717631,0.25495060280000004,165353.03672,0.5449270304,0.8352402745999999,0.9582906132,45954,0,3
269,773,,,42.17,0.19513078109999998,0.21639967420000003,135683.25456,0.4881697036,0.7423974132,0.9658235881,22098,0,2
271,779,24913287.187,8077942.86,40.5,0.17608695649999997,0.22834368530000002,149051.64976,0.5116351418999999,0.7761105695999999,0.9552638128000001,48300,0,4
275,787,34014341.6,10989604.74,41.07,0.1781296605,0.225853145,147915.69294,0.5191331297,0.7791657454,0.9502824362000001,45596,0,3
278,791,32948505.325,10560010.21,39.19,0.1554140676,0.2370748629,161060.59986,0.5369230437,0.8052056498000001,0.9485734033,92823,0,6
284,810,,,40.58,0.1786812818,0.2331525082,140929.38469,0.49875339659999995,0.7733783848000001,0.9629940891,35762,0,2
286,813,27009233.16,8767139.406,42.54,0.1944822071,0.20628548579999997,148426.22872,0.49404056259999996,0.7512156025,0.9558488994,62525,0,5
291,820,20471643.15,6642801.18,40.54,0.17825691649999997,0.2318223146,145099.4948,0.5098345707999999,0.7831559422,0.9494854761,38495,0,4
295,840,,,39.09,0.1511418685,0.2544636678,160353.40420999998,0.5349232209,0.8242975399,0.9651634372,28900,0,2
297,846,30221943.2,9842736.31,40.37,0.16886488,0.23235582989999998,151509.64815,0.513238671,0.7819625328,0.9531843104000001,42762,0,3
300,849,27990480.85,9072518.83,40.99,0.1748140549,0.23344447289999998,148262.78474,0.50659095,0.7767698251,0.9673664465,38990,0,3
303,851,38807439.93,12589527.792000001,39.0,0.1546522528,0.2018268702,159224.27977999998,0.5082362436,0.7401218699,0.9255801125,196292,0,10
313,860,24606980.675,7956950.285,40.85,0.17711841670000003,0.22662513780000001,145997.58853,0.5025821666,0.7660319764,0.9544464014,67102,0,6
0,101,32175513.680999998,10420720.827,36.1,0.1057361148,0.1725983177,177947.38525,0.5481757946,0.7316536387,0.7897743009,518574,0,26
26,147,35360723.52,11353348.05,39.68,0.1608666828,0.1665596818,199421.11807,0.5406592709,0.7648697568,0.8450692298,95029,0,5
31,151,32632761.25,10439521.77,40.04,0.1811468838,0.2276256382,167726.09768,0.49253920619999997,0.7681759748999999,0.8795705288,47398,0,3
34,153,,,40.57,0.1753746816,0.21743380129999998,155595.38275999998,0.4788105413,0.7330208485999999,0.7560244539000001,33762,0,2
36,155,,,42.38,0.19588397579999997,0.2345089852,198542.33728,0.5137134743,0.8202335651,0.9352813690999999,13411,0,1
37,157,36160684.537,11470844.317,40.86,0.175287274,0.2351204975,251882.94016,0.5209615274,0.8075544393,0.8886364943,69794,0,4
41,159,44151196.15,14070578.78,39.34,0.1594420635,0.2292948302,179838.07838,0.5188743559000001,0.7898528192000001,0.8663020214,63233,0,3
44,161,,,40.64,0.1782654227,0.2011614623,179993.74482,0.5307446453,0.8013824884999999,0.8759242475,21008,0,1
45,163,,,40.58,0.17852449780000001,0.2221888493,167780.48757,0.5096327514,0.7875745215000001,0.8565999398,26635,0,1
46,165,,,37.05,0.12950263480000002,0.242582834,157847.19590999998,0.5034053036,0.7418890105,0.7446384582,27706,0,1
47,167,,,39.55,0.1635336061,0.2242028927,169780.15439,0.517775567,0.7910660437,0.8608612673,49366,0,2
49,169,,,38.03,0.1366877637,0.23757383969999998,174855.3633,0.5236261295,0.7733599081,0.8021457139,47400,0,2
51,173,35098690.3,11226203.43,41.67,0.19356904449999998,0.2112473803,208528.65097000002,0.5124379079,0.7992857377,0.8972630759,51532,0,3
54,175,,,40.72,0.1857403114,0.2145854036,167429.37365,0.5089757420000001,0.7899078341,0.8623350759,36228,0,1
55,183,,,36.74,0.1136057044,0.2446039699,159187.89103,0.5094750073,0.7374717833,0.6840375133,20756,0,1
56,185,,,40.88,0.17280051719999998,0.22049534989999997,174771.70145999998,0.5190056295000001,0.7996061862,0.9043491256999999,40214,0,2
58,187,,,39.18,0.1472502806,0.2392817059,196876.81660999998,0.5554639484,0.8360795801,0.8504721931,13365,0,1
59,190,,,40.13,0.1723008663,0.2572100148,207520.34128,0.5148965444,0.8206471352,0.8875747473000001,37864,0,2
61,201,,,39.03,0.1520507116,0.2704756307,213358.37716,0.5415824915999999,0.8565916867,0.9371632997,23821,0,1
