,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
86,265,39.44,0.15624038880000002,0.2299317217,209231.45988,0.5323215012,0.8023216115,0.9163574044,81285,2337241.8405,0,3,2008
89,269,38.93,0.138842019,0.2544472834,224463.9648,0.5483512770000001,0.8317162399,0.9434171776000001,20743,2095389.7637,0,2,2008
91,270,41.67,0.17813276879999998,0.2273365004,191872.25494,0.5200197360000001,0.7923612839,0.9504625631999999,40627,1693705.1607,0,2,2008
93,306,44.11,0.21466268579999997,0.1981362526,153960.88054,0.46587546049999995,0.7169074179,0.9579633992000001,33159,1107243.9158,0,2,2008
95,316,39.41,0.1506874928,0.2364515016,183238.22239,0.5195061515,0.7801709964,0.9280548593000001,69528,1730175.7185,0,3,2008
98,320,40.43,0.1620157445,0.23187833300000002,183784.33822,0.5208951428,0.7907117570000001,0.961459128,35441,1360502.4539,0,3,2008
101,326,40.95,0.1731167447,0.2265334432,168628.60116,0.4919260661,0.7543065889,0.9509926308,49741,1171918.0502,0,3,2008
104,329,38.66,0.1427778805,0.23722335239999998,189586.80818,0.5328020756,0.7961174714,0.9067210279000001,32442,1573921.5804,0,1,2008
105,330,40.39,0.1697328841,0.2187794518,168318.14855,0.49726408380000003,0.7491173548000001,0.9193971929000001,77457,1297695.513,0,4,2008
109,336,41.94,0.1807453982,0.21783306,189441.71912,0.5208323826,0.7915971485,0.9618034956,21948,1626529.0062,0,1,2008
110,340,40.07,0.16145020029999999,0.2381356508,180439.47582,0.5113520495,0.7879250834999999,0.9587043709,29458,1855592.3129,0,4,2008
114,350,39.79,0.1512435581,0.25252072600000003,208164.66407,0.5394225015,0.8310751474,0.9593058049,26778,1849423.0055,0,1,2008
115,360,44.47,0.21961178469999998,0.1905061038,140270.1642,0.4365668512,0.6727421303,0.9414108371,47757,916325.22855,0,3,2008
118,370,40.18,0.1628085085,0.2225461373,176162.39456,0.5131546382,0.7725196676,0.9390283140000001,80954,1452549.7612,0,5,2008
123,376,43.4,0.20632484850000002,0.1956305073,153667.61155,0.47556724549999996,0.7270825609999999,0.9468246926,63211,1223895.8635,0,6,2008
129,390,42.94,0.2000816309,0.2091469571,155543.29524,0.4699681611,0.7301281118,0.9543929094,46551,1325384.3891,0,4,2008
133,400,44.07,0.2090313183,0.2011606325,144834.60166,0.4456023147,0.6903176944,0.9613511797,42563,940462.20215,0,3,2008
136,410,40.74,0.17310299,0.2360664452,179140.6357,0.5119060303,0.7856820845999999,0.9551992329000001,37625,1493429.1365,0,2,2008
138,420,40.68,0.171714774,0.2388909989,165154.50424,0.5006776518,0.7735666479000001,0.9648572176000001,42128,1328531.4715,0,2,2008
140,430,41.67,0.18762953870000001,0.22808397940000003,163906.88857,0.49911555469999996,0.7696230015000001,0.9608152278000001,52108,1350140.6968,0,2,2008
142,440,41.48,0.187955359,0.22960623289999998,168806.22812,0.49622474369999997,0.7728720323999999,0.9558780106999999,23745,1427988.2031,0,2,2008
144,450,41.6,0.1868260074,0.2221731727,163076.6628,0.48331175600000004,0.7495193335,0.9417727115000001,31714,1244088.0286,0,2,2008
146,461,38.53,0.1491946427,0.2078284884,167739.61453,0.4971703799,0.7246856167,0.8704348706999999,187929,1428581.6392,0,11,2008
157,479,41.05,0.1752302104,0.21588240260000002,164772.75136,0.4861057017,0.7305297681999999,0.9378524376,59185,1593047.79,0,4,2008
161,480,40.67,0.17156251050000002,0.2337526559,164396.46867,0.5077911104,0.7790591978,0.9647456481000001,29651,1504446.451,0,3,2008
164,482,47.2,0.25665413260000003,0.17252820170000002,138802.3212,0.44876716369999997,0.6987842731999999,0.9585117378,13563,833071.70699,0,2,2008
166,492,48.32,0.27470886829999996,0.1652732159,139124.89328,0.4446273571,0.7006675567,0.9543549834999999,6698,703788.1772800001,0,1,2008
167,510,40.51,0.1743469951,0.2272244638,168415.80624,0.5098164405,0.7795977607,0.9318435754000001,56508,1316238.848,0,4,2008
171,530,39.7,0.16516104439999998,0.24116638079999997,179026.12928,0.5348988163,0.8115839547,0.9417716686,26235,1331126.8003,0,1,2008
172,540,41.06,0.1901605615,0.2241089683,164793.71187,0.4855437735,0.7628022125,0.9027893856999999,76793,1084346.2502,0,5,2008
177,550,41.4,0.18355878260000003,0.22515914059999997,154544.49945,0.502992071,0.7672937405,0.9290629831,40216,1303590.1885,0,4,2008
181,561,39.51,0.1552336489,0.2228544003,178458.31815,0.5145801647,0.7583407083,0.920779357,114595,1295645.3789,0,5,2008
186,563,45.85,0.2132834425,0.1942625507,180225.275,0.5053125,0.7539515279000001,0.9440625,3207,1261171.3405,0,1,2008
187,573,40.01,0.1709559188,0.2398018821,170330.69848,0.5378843520000001,0.8195865876999999,0.9460865076999999,50475,1320248.4456,0,3,2008
190,575,39.43,0.1677762983,0.24612796969999998,167415.37407,0.523706947,0.8092709415,0.9456320681999999,42807,1358755.6940000001,0,4,2008
194,580,40.65,0.1716286925,0.2287720228,167246.39658,0.49592591979999995,0.7594831640999999,0.8975090858,60392,1484720.4113,0,4,2008
198,607,39.93,0.166934997,0.2247735963,182707.6256,0.5072589425999999,0.7686065384,0.9255555107,49690,1457305.0806,0,3,2008
201,615,38.65,0.146790903,0.22610188190000002,177419.66902,0.5244537068999999,0.7741427503,0.9074261333,81565,1574115.4621,0,6,2008
207,621,38.72,0.1507585942,0.23084309579999998,188249.64546,0.5360309856000001,0.7967097317,0.9167940747,88519,1602778.6785,0,5,2008
212,630,39.08,0.1547825923,0.2380624079,188009.08860999998,0.5331212965,0.8026133408,0.9225118797,105884,1587983.4722,0,6,2008
218,657,38.52,0.148127721,0.23747609050000001,176260.37563,0.5363194845,0.7958523847,0.9277843762000001,85217,1282024.3426,0,3,2008
221,661,38.96,0.1555869873,0.2341837358,177078.17867999998,0.5377776222,0.8015361247,0.9410014526,57267,1140044.8493,0,4,2008
225,665,41.36,0.1870044655,0.2321607582,163513.73666,0.5154130703,0.7966514698999999,0.9641960086,21946,1152803.9282,0,1,2008
