,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry
27,223-2,Apoteket i Fredericia Sundhedshus,7,Dronningensgade 97 A st,7000.0,"01Nov2018 0:00:00,000",,1083.0,607.0,1083.0,"Dronningensgade 97 A st, 7000 Denmark",55.5611824,9.76562,2018-11-01,,2018.0,,2018.0,POINT (9.76562 55.5611824)
28,184-1,Apoteket Jernbane Allé,7,Jernbane Allé 31,2720.0,"01Jul2019 0:00:00,000",,1084.0,101.0,1084.0,"Jernbane Allé 31, 2720 Denmark",55.686102000000005,12.491235000000001,2019-07-01,,2019.0,,2019.0,POINT (12.491235 55.68610200000001)
29,327-1,Apoteket Lille Bjørn,7,"Nordens Plads 4A, stuen",2000.0,"04Jan2016 0:00:00,000",,1084.0,147.0,1084.0,"Nordens Plads 4A, stuen, 2000 Denmark",55.671326,12.500625999999999,2016-01-04,,2016.0,,2016.0,POINT (12.500626 55.671326)
30,360-2,Apoteket Møllebro,7,Slangerupgade 50,3400.0,"09Dec2019 0:00:00,000",,1084.0,219.0,1084.0,"Slangerupgade 50, 3400 Denmark",55.928624,12.293453999999999,2019-12-09,,2019.0,,2019.0,POINT (12.293454 55.928624)
31,096-3,Apoteket Nørregade-Odder,7,Nørregade 6,8300.0,"01Sep2018 0:00:00,000",,1082.0,727.0,1082.0,"Nørregade 6, 8300 Denmark",55.974517000000006,10.14865,2018-09-01,,2018.0,,2018.0,POINT (10.14865 55.97451700000001)
32,152-3,Apoteket Odense Banegård,7,"Østre Stationsvej 27, 2.sal",5000.0,"14Jan2019 0:00:00,000",,1083.0,461.0,1083.0,"Østre Stationsvej 27, 2.sal, 5000 Denmark",55.3959,10.3883,2019-01-14,,2019.0,,2019.0,POINT (10.3883 55.3959)
33,281-2,Apoteket Porshøj,7,Porsvænget 4,7400.0,"03Aug2015 0:00:00,000",,1082.0,657.0,1082.0,"Porsvænget 4, 7400 Denmark",56.14442389999999,8.957385,2015-08-03,,2015.0,,2015.0,POINT (8.957385 56.14442389999999)
34,170-3,Apoteket ROs Torv,7,ROs Torv 210,4000.0,"28Aug2015 0:00:00,000",,1085.0,265.0,1085.0,"ROs Torv 210, 4000 Denmark",55.6415,12.0803,2015-08-28,,2015.0,,2015.0,POINT (12.0803 55.6415)
35,274-1,Apoteket Thors Bakke,7,Biografgade 3,8900.0,"01Sep2015 0:00:00,000",,1082.0,730.0,1082.0,"Biografgade 3, 8900 Denmark",56.46326800000001,10.037989999999999,2015-09-01,,2015.0,,2015.0,POINT (10.03799 56.46326800000001)
36,282-1,Apoteket Vesterbro Odense,7,Vesterbro 39,5000.0,"21Sep2018 0:00:00,000",,1083.0,461.0,1083.0,"Vesterbro 39, 5000 Denmark",55.39451,10.375813,2018-09-21,,2018.0,,2018.0,POINT (10.375813 55.39451)
46,220-A1,Arden Apoteksudsalg,8,Skovvej 4,9510.0,"01Apr2003 0:00:00,000",,1081.0,846.0,1081.0,"Skovvej 4, 9510 Denmark",56.76931,9.858933,2003-04-01,,2003.0,,2008.0,POINT (9.858933 56.76931)
47,216,Asnæs Apotek,6,Asnæs Centret 7,4550.0,"01Jan1905 0:00:00,000",,1085.0,306.0,1085.0,"Asnæs Centret 7, 4550 Denmark",55.811989000000004,11.500561,1905-01-01,,1905.0,,2008.0,POINT (11.500561 55.811989)
48,024,Assens Apotek,6,Østergade 35,5610.0,01-01-1753 00:00,,1083.0,420.0,1083.0,"Østergade 35, 5610 Denmark",55.270081000000005,9.897483,1753-01-01,,1753.0,,2008.0,POINT (9.897482999999999 55.270081)
49,326-1,Assentoft Apotek,7,"Storegade 61, Assentoft",8960.0,"01Jan2016 0:00:00,000",,1082.0,730.0,1082.0,"Storegade 61, Assentoft, 8960 Denmark",56.444902,10.1546774,2016-01-01,,2016.0,,2016.0,POINT (10.1546774 56.444902)
51,285-1,Augustenborg Apotek,7,Storegade 41,6440.0,"01Dec2015 0:00:00,000",,1083.0,540.0,1083.0,"Storegade 41, 6440 Denmark",54.946037,9.871386,2015-12-01,,2015.0,,2015.0,POINT (9.871385999999999 54.946037)
53,246-2,Aulum Apotek,7,Skolegade 2,7490.0,"01Oct2016 0:00:00,000",,1082.0,657.0,1082.0,"Skolegade 2, 7490 Denmark",56.265671,8.79712,2016-10-01,,2016.0,,2016.0,POINT (8.79712 56.265671)
55,104-1,Auning Apotek,7,Centervej 4B,8963.0,29.12.2009,,1082.0,707.0,1082.0,"Centervej 4B, 8963 Denmark",56.43225379999999,10.3714639,2009-12-29,,2009.0,,2009.0,POINT (10.3714639 56.43225379999999)
57,353,Bagsværd Apotek,6,Bagsværd Torv 6,2880.0,"01Jan1956 0:00:00,000",,1084.0,159.0,1084.0,"Bagsværd Torv 6, 2880 Denmark",55.76156999999999,12.452301,1956-01-01,,1956.0,,2008.0,POINT (12.452301 55.76156999999999)
58,225,Ballerup Apotek,6,Centrumgaden 24-26,2750.0,"01Jan1907 0:00:00,000",,1084.0,151.0,1084.0,"Centrumgaden 24-26, 2750 Denmark",55.728122899999995,12.3598013,1907-01-01,,1907.0,,2008.0,POINT (12.3598013 55.7281229)
60,143-1,Balling Apotek,7,"Vestergade 1, Balling",7860.0,"01Dec2003 0:00:00,000",,1082.0,779.0,1082.0,"Vestergade 1, Balling, 7860 Denmark",56.615783799999996,8.8821834,2003-12-01,,2003.0,,2008.0,POINT (8.882183400000001 56.6157838)
61,205,Balling Apotek,6,"Vestergade 1, Balling",7860.0,"01Jan1903 0:00:00,000","30Nov2003 0:00:00,000",76.0,781.0,,"Vestergade 1, Balling, 7860 Denmark",56.615783799999996,8.8821834,1903-01-01,2003-11-30,1903.0,2003.0,2008.0,POINT (8.882183400000001 56.6157838)
62,019-1,Bankager Apotek,7,Bankagervej 111,8700.0,"01Jul2015 0:00:00,000",,1082.0,615.0,1082.0,"Bankagervej 111, 8700 Denmark",55.836271999999994,9.832942,2015-07-01,,2015.0,,2015.0,POINT (9.832941999999999 55.83627199999999)
65,241-2,Beder-Malling Apotek,7,Byvej 2,8330.0,"02Oct2017 0:00:00,000",,1082.0,751.0,1082.0,"Byvej 2, 8330 Denmark",56.058932999999996,10.206532000000001,2017-10-02,,2017.0,,2017.0,POINT (10.206532 56.058933)
68,088-1,Billund Apotek,7,Butikstorvet 3,7190.0,"01Jul2015 0:00:00,000",,1083.0,530.0,1083.0,"Butikstorvet 3, 7190 Denmark",56.718277,10.115032300000001,2015-07-01,,2015.0,,2015.0,POINT (10.1150323 56.718277)
70,346,Birkerød Apotek,6,Teglporten 27,3460.0,"01Jan1938 0:00:00,000",,1084.0,230.0,1084.0,"Teglporten 27, 3460 Denmark",55.838563,12.431699,1938-01-01,,1938.0,,2008.0,POINT (12.431699 55.838563)
71,145,Bjerringbro Apotek,6,Nørregade 4,8850.0,01-01-1877 00:00,,1082.0,791.0,1082.0,"Nørregade 4, 8850 Denmark",56.385631200000006,9.6721143,1877-01-01,,1877.0,,2008.0,POINT (9.6721143 56.38563120000001)
72,180-1,Bjæverskov Apotek,7,Ejbovej 33,4632.0,"20Jun2019 0:00:00,000",,1085.0,259.0,1085.0,"Ejbovej 33, 4632 Denmark",55.461262,12.035933,2019-06-20,,2019.0,,2019.0,POINT (12.035933 55.461262)
74,316-2,Bogense Apotek,7,Vestergade 9,5400.0,"01Nov2017 0:00:00,000",,1083.0,480.0,1083.0,"Vestergade 9, 5400 Denmark",55.564572,10.088154,2017-11-01,,2017.0,,2017.0,POINT (10.088154 55.564572)
75,180,Borup Apotek,6,Hovedgaden 15,4140.0,01-01-1899 00:00,,1085.0,259.0,1085.0,"Hovedgaden 15, 4140 Denmark",55.494647,11.972489999999999,1899-01-01,,1899.0,,2008.0,POINT (11.97249 55.494647)
76,271-1,Bramdrupdam Apotek,7,Centervej 5,6000.0,"26Mar2020 0:00:00,000",,1083.0,621.0,1083.0,"Centervej 5, 6000 Denmark",55.521927000000005,9.478828,2020-03-26,,2020.0,,2020.0,POINT (9.478828 55.52192700000001)
77,253,Bramminge Apotek,6,"Storegade 2, st.",6740.0,"01Jan1907 0:00:00,000",,1083.0,561.0,1083.0,"Storegade 2, st., 6740 Denmark",55.464728,8.702538,1907-01-01,,1907.0,,2008.0,POINT (8.702538000000001 55.464728)
78,115-1,Brande Apotek,7,Storegade 13,7330.0,"01May2009 0:00:00,000",,1082.0,756.0,1082.0,"Storegade 13, 7330 Denmark",55.943996,9.126553999999999,2009-05-01,,2009.0,,2009.0,POINT (9.126553999999999 55.943996)
80,348-1,Bredalsparken Apotek,7,Hvidovrevej 322,2650.0,"03Feb2017 0:00:00,000",,1084.0,167.0,1084.0,"Hvidovrevej 322, 2650 Denmark",55.639075,12.478968,2017-02-03,,2017.0,,2017.0,POINT (12.478968 55.639075)
81,234-2,Bredballe Apotek,7,Bredballe Center 12,7120.0,"12Apr2018 0:00:00,000",,1083.0,630.0,1083.0,"Bredballe Center 12, 7120 Denmark",55.718807,9.60862,2018-04-12,,2018.0,,2018.0,POINT (9.60862 55.718807)
84,289-1,Broager Apotek,7,Storegade 6 A,6310.0,01.01.1992,,1083.0,540.0,1083.0,"Storegade 6 A, 6310 Denmark",54.88840329999999,9.6739573,1992-01-01,,1992.0,,2008.0,POINT (9.6739573 54.88840329999999)
85,105-3,Brovst Apotek,7,Østergade 16,9460.0,"01Nov2009 0:00:00,000",,1081.0,849.0,1081.0,"Østergade 16, 9460 Denmark",57.09729300000001,9.524836,2009-11-01,,2009.0,,2009.0,POINT (9.524836000000001 57.09729300000001)
87,337-2,Bruuns Apotek,7,"M.P. Bruuns Gade 25, 99",8000.0,"01May2016 0:00:00,000",,1082.0,751.0,1082.0,"M.P. Bruuns Gade 25, 99, 8000 Denmark",56.148874899999996,10.203336199999999,2016-05-01,,2016.0,,2016.0,POINT (10.2033362 56.1488749)
88,355-1,Brøndby Strand Apotek,7,Brøndby Strand Centrum 16,2660.0,27.08.2016,,1084.0,153.0,1084.0,"Brøndby Strand Centrum 16, 2660 Denmark",55.621545,12.42262,2016-08-27,,2016.0,,2016.0,POINT (12.42262 55.621545)
90,354-1,Brøndbyvester Apotek,7,Søndre Ringvej 41F,2605.0,"01Dec2015 0:00:00,000",,1084.0,153.0,1084.0,"Søndre Ringvej 41F, 2605 Denmark",55.655021,12.395359,2015-12-01,,2015.0,,2015.0,POINT (12.395359 55.655021)
91,354,Brøndbyøster Apotek,6,Nygårds Plads 29A,2605.0,"01Jan1957 0:00:00,000",,1084.0,153.0,1084.0,"Nygårds Plads 29A, 2605 Denmark",55.667522999999996,12.437595,1957-01-01,,1957.0,,2008.0,POINT (12.437595 55.667523)
92,172,Brønderslev Apotek,6,Peder Møllers Plads 10,9700.0,01-01-1883 00:00,,1081.0,810.0,1081.0,"Peder Møllers Plads 10, 9700 Denmark",57.26855379999999,9.948264300000002,1883-01-01,,1883.0,,2008.0,POINT (9.948264300000002 57.26855379999999)
93,172-2,Brønderslev Løve Apotek,7,Løvbjerg Arkaden 14,9700.0,"03Dec2016 0:00:00,000",,1081.0,810.0,1081.0,"Løvbjerg Arkaden 14, 9700 Denmark",57.266630000000006,9.947691,2016-12-03,,2016.0,,2016.0,POINT (9.947691000000001 57.26663000000001)
94,341-4,Brønshøj Apotek,7,Højenhald 2,2700.0,"29Apr2016 0:00:00,000",,1084.0,101.0,1084.0,"Højenhald 2, 2700 Denmark",55.705346,12.507615,2016-04-29,,2016.0,,2016.0,POINT (12.507615 55.705346)
95,253-1,Brørup Apotek,7,Søndergade 17,6650.0,01.01.1992,,1083.0,575.0,1083.0,"Søndergade 17, 6650 Denmark",55.481467,9.018186,1992-01-01,,1992.0,,2008.0,POINT (9.018186 55.481467)
96,358,Buddinge Apotek,13,Søborg Hovedgade 201,2860.0,"01Jan1961 0:00:00,000",,1084.0,159.0,1084.0,"Søborg Hovedgade 201, 2860 Denmark",55.741866,12.497438,1961-01-01,,1961.0,,2008.0,POINT (12.497438 55.741866)
97,276,Børkop Apotek,13,Ny Boder 16,7080.0,"01Jan1907 0:00:00,000",,1083.0,630.0,1083.0,"Ny Boder 16, 7080 Denmark",55.641515000000005,9.650983,1907-01-01,,1907.0,,2008.0,POINT (9.650983 55.64151500000001)
98,120-1,Bøvlingbjerg Apotek,7,"Fårevej 143, Lejlighed 1",7650.0,02.03.2009,,1082.0,665.0,1082.0,"Fårevej 143, Lejlighed 1, 7650 Denmark",56.438621,8.20251,2009-02-03,,2009.0,,2009.0,POINT (8.20251 56.438621)
99,159,Charlottenlund Apotek,6,"Lindegårdsvej 51, st",2920.0,01-01-1894 00:00,,1084.0,157.0,1084.0,"Lindegårdsvej 51, st, 2920 Denmark",55.754630000000006,12.569751,1894-01-01,,1894.0,,2008.0,POINT (12.569751 55.75463000000001)
