,Unnamed: 0,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear,geometry,test
29,29,360-2,Apoteket Møllebro,7,Slangerupgade 50,3400.0,09Dec2019 0:00:00.000,,1084.0,219.0,1084.0,"Slangerupgade 50, 3400 Denmark",55.928624,12.293453999999999,2019-12-09,2019.0,2019.0,2019-12-09,,2019.0,,POINT (12.293454 55.928624),0.278698457442805
30,30,096-3,Apoteket Nørregade-Odder,7,Nørregade 6,8300.0,01Sep2018 0:00:00.000,,1082.0,727.0,1082.0,"Nørregade 6, 8300 Denmark",55.974517000000006,10.14865,2018-09-01,2018.0,2018.0,2018-09-01,,2018.0,,POINT (10.14865 55.97451700000001),2.2278575717567772
31,31,152-3,Apoteket Odense Banegård,7,"Østre Stationsvej 27, 2.sal",5000.0,14Jan2019 0:00:00.000,,1083.0,461.0,1083.0,"Østre Stationsvej 27, 2.sal, 5000 Denmark",55.3959,10.3883,2019-01-14,2019.0,2019.0,2019-01-14,,2019.0,,POINT (10.3883 55.3959),1.9825985884744812
32,32,281-2,Apoteket Porshøj,7,Porsvænget 4,7400.0,03Aug2015 0:00:00.000,,1082.0,657.0,1082.0,"Porsvænget 4, 7400 Denmark",56.14442389999999,8.957385,2015-08-03,2015.0,2015.0,2015-08-03,,2015.0,,POINT (8.957385 56.14442389999999),3.4311773032908106
33,33,170-3,Apoteket ROs Torv,7,ROs Torv 210,4000.0,28Aug2015 0:00:00.000,,1085.0,265.0,1085.0,"ROs Torv 210, 4000 Denmark",55.6415,12.0803,2015-08-28,2015.0,2015.0,2015-08-28,,2015.0,,POINT (12.0803 55.6415),0.27380695064406313
34,34,274-1,Apoteket Thors Bakke,7,Biografgade 3,8900.0,01Sep2015 0:00:00.000,,1082.0,730.0,1082.0,"Biografgade 3, 8900 Denmark",56.46326800000001,10.037989999999999,2015-09-01,2015.0,2015.0,2015-09-01,,2015.0,,POINT (10.03799 56.46326800000001),2.452211586209684
35,35,282-1,Apoteket Vesterbro Odense,7,Vesterbro 39,5000.0,21Sep2018 0:00:00.000,,1083.0,461.0,1083.0,"Vesterbro 39, 5000 Denmark",55.39451,10.375813,2018-09-21,2018.0,2018.0,2018-09-21,,2018.0,,POINT (10.375813 55.39451),1.995159969010004
36,36,318-A1,Apoteksudsalg fra Trekroner Apopotek,8,Frugthaven 14,2500.0,,01Jun2012 0:00:00.000,13.0,101.0,,"Frugthaven 14, 2500 Denmark",55.650736,12.500794,,,2008.0,,2012-06-01,,2012.0,POINT (12.500794 55.650736),0.1472124352254259
37,37,367-A2,Apoteksudsalg Vest,8,Frederiksværkgade 115,3400.0,,31Oct2016 0:00:00.000,1084.0,219.0,1084.0,"Frederiksværkgade 115, 3400 Denmark",55.9267,12.3109,,,2008.0,,2016-10-31,,2016.0,POINT (12.3109 55.9267),0.2735541749288383
38,38,367-A1,Apoteksudsalg Øst,8,Fredskovhellet 1,3400.0,,27Apr2020 0:00:00.000,1084.0,219.0,1084.0,"Fredskovhellet 1, 3400 Denmark",55.932459400000006,12.3354543,,,2008.0,,2020-04-27,,2020.0,POINT (12.3354543 55.93245940000001),0.27654762142830414
39,39,281-A2,Apoteksudsalget herningCentret,8,Merkurvej 51,7400.0,,01Jul2015 0:00:00.000,1082.0,657.0,1082.0,"Merkurvej 51, 7400 Denmark",56.134681799999996,8.9993245,,,2008.0,,2015-07-01,,2015.0,POINT (8.9993245 56.1346818),3.38828066963572
40,40,327-A1,Apoteksudsalget Lille Bjørn,8,Nordens Plads 2,2000.0,01Jun2004 0:00:00.000,04Jan2016 0:00:00.000,1084.0,147.0,1084.0,"Nordens Plads 2, 2000 Denmark",55.6722691,12.500962199999998,2004-06-01,2004.0,2008.0,2004-06-01,2016-01-04,2004.0,2016.0,POINT (12.5009622 55.6722691),0.1481075668959876
41,41,364-A1,Apoteksudsalget på Kingosvej,8,Kingosvej 54,3000.0,,04Feb2017 0:00:00.000,1084.0,217.0,1084.0,"Kingosvej 54, 3000 Denmark",56.0360378,12.577955300000001,,,2008.0,,2017-02-04,,2017.0,POINT (12.5779553 56.0360378),0.44082989567692815
42,42,077-A1,Apoteksudsalget RingStedet,8,Klosterparks Allé 10,4100.0,09Jul2008 0:00:00.000,01Sep2015 0:00:00.000,1085.0,329.0,1085.0,"Klosterparks Allé 10, 4100 Denmark",55.453511999999996,11.788069,2008-07-09,2008.0,2008.0,2008-07-09,2015-09-01,2008.0,2015.0,POINT (11.788069 55.453512),0.6009513989333929
43,43,274-A1,Apoteksudsalget Thors Bakke,8,Biografgade 1 B,8900.0,,01Sep2015 0:00:00.000,1082.0,730.0,1082.0,"Biografgade 1 B, 8900 Denmark",56.4631158,10.0373287,,,2008.0,,2015-09-01,,2015.0,POINT (10.0373287 56.4631158),2.452786028078871
44,44,323-A1,Apoteksudsalget Vestamager Centret,8,Ugandavej 111,2770.0,,06Dec2018 0:00:00.000,1084.0,185.0,1084.0,"Ugandavej 111, 2770 Denmark",55.6033582,12.5857645,,,2008.0,,2018-12-06,,2018.0,POINT (12.5857645 55.6033582),0.23807938151778232
45,45,220-A1,Arden Apoteksudsalg,8,Skovvej 4,9510.0,01Apr2003 0:00:00.000,,1081.0,846.0,1081.0,"Skovvej 4, 9510 Denmark",56.76931,9.858933,2003-04-01,2003.0,2008.0,2003-04-01,,2003.0,,POINT (9.858933 56.76931),2.7316940484358767
46,46,216,Asnæs Apotek,6,Asnæs Centret 7,4550.0,01Jan1905 0:00:00.000,,1085.0,306.0,1085.0,"Asnæs Centret 7, 4550 Denmark",55.811989000000004,11.500561,1905-01-01,1905.0,2008.0,1905-01-01,,1905.0,,POINT (11.500561 55.811989),0.8671851576111079
47,47,024,Assens Apotek,6,Østergade 35,5610.0,01-01-1753 00:00,,1083.0,420.0,1083.0,"Østergade 35, 5610 Denmark",55.270081000000005,9.897483,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,,POINT (9.897482999999999 55.270081),2.486424712802099
48,48,326-1,Assentoft Apotek,7,"Storegade 61, Assentoft",8960.0,01Jan2016 0:00:00.000,,1082.0,730.0,1082.0,"Storegade 61, Assentoft, 8960 Denmark",56.440387,10.14782,2016-01-01,2016.0,2016.0,2016-01-01,,2016.0,,POINT (10.14782 56.440387),2.341012899527468
49,49,326-A1,Assentoft Apoteksudsalg,8,"Storegade 61, Assentoft",8960.0,,01Jan2016 0:00:00.000,1082.0,730.0,1082.0,"Storegade 61, Assentoft, 8960 Denmark",56.440387,10.14782,,,2008.0,,2016-01-01,,2016.0,POINT (10.14782 56.440387),2.341012899527468
50,50,285-1,Augustenborg Apotek,7,Storegade 41,6440.0,01Dec2015 0:00:00.000,,1083.0,540.0,1083.0,"Storegade 41, 6440 Denmark",54.946037,9.871386,2015-12-01,2015.0,2015.0,2015-12-01,,2015.0,,POINT (9.871385999999999 54.946037),2.5819828696197833
51,51,285-A1,Augustenborg Apoteksudsalg,8,Storegade 41,6440.0,,30Nov2015 0:00:00.000,1083.0,540.0,1083.0,"Storegade 41, 6440 Denmark",54.946037,9.871386,,,2008.0,,2015-11-30,,2015.0,POINT (9.871385999999999 54.946037),2.5819828696197833
52,52,246-2,Aulum Apotek,7,Skolegade 2,7490.0,01Oct2016 0:00:00.000,,1082.0,657.0,1082.0,"Skolegade 2, 7490 Denmark",56.265671,8.79712,2016-10-01,2016.0,2016.0,2016-10-01,,2016.0,,POINT (8.79712 56.265671),3.6083650011153248
53,53,246-A1,Aulum Apoteksudsalg,8,Skolegade 2,7490.0,,01Oct2016 0:00:00.000,1082.0,657.0,1082.0,"Skolegade 2, 7490 Denmark",56.265671,8.79712,,,2008.0,,2016-10-01,,2016.0,POINT (8.79712 56.265671),3.6083650011153248
54,54,104-1,Auning Apotek,7,Centervej 4B,8963.0,,,1082.0,707.0,1082.0,"Centervej 4B, 8963 Denmark",56.4321027,10.3714019,,,2008.0,,,,,POINT (10.3714019 56.4321027),2.1286201553765527
55,55,223-A1,Axeltorvs Apoteksudsalg,8,Jyllandsgade 24,7000.0,01Apr2019 0:00:00.000,01May2019 0:00:00.000,1083.0,607.0,1083.0,"Jyllandsgade 24, 7000 Denmark",55.5656559,9.7525899,2019-04-01,2019.0,2019.0,2019-04-01,2019-05-01,2019.0,2019.0,POINT (9.7525899 55.5656559),2.6026914791387816
56,56,353,Bagsværd Apotek,6,Bagsværd Torv 6,2880.0,01Jan1956 0:00:00.000,,1084.0,159.0,1084.0,"Bagsværd Torv 6, 2880 Denmark",55.76156999999999,12.452301,1956-01-01,1956.0,2008.0,1956-01-01,,1956.0,,POINT (12.452301 55.76156999999999),0.14408298432499947
57,57,225,Ballerup Apotek,6,Centrumgaden 24-26,2750.0,01Jan1907 0:00:00.000,,1084.0,151.0,1084.0,"Centrumgaden 24-26, 2750 Denmark",55.728122899999995,12.3598013,1907-01-01,1907.0,2008.0,1907-01-01,,1907.0,,POINT (12.3598013 55.7281229),0.07186877944489628
58,58,225-A4,Ballerup Centrets Apoteksudsalg,8,Banetoften 30,2750.0,12Dec2011 0:00:00.000,26Oct2015 0:00:00.000,1084.0,151.0,1084.0,"Banetoften 30, 2750 Denmark",55.729663,12.35736,2011-12-12,2011.0,2011.0,2011-12-12,2015-10-26,2011.0,2015.0,POINT (12.35736 55.729663),0.07324075659084985
59,59,143-1,Balling Apotek,7,"Vestergade 1, Balling",7860.0,01Dec2003 0:00:00.000,,1082.0,779.0,1082.0,"Vestergade 1, Balling, 7860 Denmark",56.614962,8.8711597,2003-12-01,2003.0,2008.0,2003-12-01,,2003.0,,POINT (8.8711597 56.614962),3.6120180902717096
61,61,019-1,Bankager Apotek,7,Bankagervej 111,8700.0,01Jul2015 0:00:00.000,,1082.0,615.0,1082.0,"Bankagervej 111, 8700 Denmark",55.836271999999994,9.832942,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,,POINT (9.832941999999999 55.83627199999999),2.5271542544081083
62,62,019-A1,Bankagervejs Apoteksudsalg,8,Bankagervej 111,8700.0,,01Jul2015 0:00:00.000,1082.0,615.0,1082.0,"Bankagervej 111, 8700 Denmark",55.836271999999994,9.832942,,,2008.0,,2015-07-01,,2015.0,POINT (9.832941999999999 55.83627199999999),2.5271542544081083
63,63,241-A1,Beder Apoteksudsalg,8,Butikstorvet,8330.0,,02Oct2017 0:00:00.000,1082.0,751.0,1082.0,"Butikstorvet, 8330 Denmark",56.71789029999999,10.112972000000001,,,2008.0,,2017-10-02,,2017.0,POINT (10.112972 56.71789029999999),2.479386862296941
64,64,241-2,Beder-Malling Apotek,7,Byvej 2,8330.0,02Oct2017 0:00:00.000,,1082.0,751.0,1082.0,"Byvej 2, 8330 Denmark",56.058932999999996,10.206532000000001,2017-10-02,2017.0,2017.0,2017-10-02,,2017.0,,POINT (10.206532 56.058933),2.184548008199864
65,65,123-A1,Bellinge Apoteksudsalg,8,Elmegårdsvej 2,5250.0,,01Jul2015 0:00:00.000,1083.0,461.0,1083.0,"Elmegårdsvej 2, 5250 Denmark",55.336904000000004,10.315616,,,2008.0,,2015-07-01,,2015.0,POINT (10.315616 55.336904),2.0629872908820834
66,66,088-1,Billund Apotek,7,Butikstorvet 3,7190.0,01Jul2015 0:00:00.000,,1083.0,530.0,1083.0,"Butikstorvet 3, 7190 Denmark",56.718113,10.113752,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,,POINT (10.113752 56.718113),2.4787773357141223
67,67,088-A1,Billund Apoteksudsalg,8,Butikstorvet 3,7190.0,,01Jul2015 0:00:00.000,1083.0,530.0,1083.0,"Butikstorvet 3, 7190 Denmark",56.718113,10.113752,,,2008.0,,2015-07-01,,2015.0,POINT (10.113752 56.718113),2.4787773357141223
68,68,346,Birkerød Apotek,6,Teglporten 27,3460.0,01Jan1938 0:00:00.000,,1084.0,230.0,1084.0,"Teglporten 27, 3460 Denmark",55.838563,12.431699,1938-01-01,1938.0,2008.0,1938-01-01,,1938.0,,POINT (12.431699 55.838563),0.19805671515250303
69,69,145,Bjerringbro Apotek,6,Nørregade 4,8850.0,01-01-1877 00:00,,1082.0,791.0,1082.0,"Nørregade 4, 8850 Denmark",56.385631200000006,9.6721143,1877-01-01,1877.0,2008.0,1877-01-01,,1877.0,,POINT (9.6721143 56.38563120000001),2.77893629684963
70,70,180-1,Bjæverskov Apotek,7,Ejbovej 33,4632.0,20Jun2019 0:00:00.000,,1085.0,259.0,1085.0,"Ejbovej 33, 4632 Denmark",55.461262,12.035933,2019-06-20,2019.0,2019.0,2019-06-20,,2019.0,,POINT (12.035933 55.461262),0.3729558045506216
71,71,048,Bogense Apotek,13,Vestergade 9,5400.0,01-01-1799 00:00,31Oct2017 0:00:00.000,1083.0,480.0,1083.0,"Vestergade 9, 5400 Denmark",55.564572,10.088154,1799-01-01,1799.0,2008.0,1799-01-01,2017-10-31,1799.0,2017.0,POINT (10.088154 55.564572),2.267405864428555
72,72,316-2,Bogense Apotek,7,Vestergade 9,5400.0,01Nov2017 0:00:00.000,,1083.0,480.0,1083.0,"Vestergade 9, 5400 Denmark",55.564572,10.088154,2017-11-01,2017.0,2017.0,2017-11-01,,2017.0,,POINT (10.088154 55.564572),2.267405864428555
73,73,180,Borup Apotek,6,Hovedgaden 15,4140.0,01-01-1899 00:00,,1085.0,259.0,1085.0,"Hovedgaden 15, 4140 Denmark",55.494647,11.972489999999999,1899-01-01,1899.0,2008.0,1899-01-01,,1899.0,,POINT (11.97249 55.494647),0.41414753133877463
74,74,271-1,Bramdrupdam Apotek,7,Centervej 5,6000.0,26Mar2020 0:00:00.000,,1083.0,621.0,1083.0,"Centervej 5, 6000 Denmark",55.521927000000005,9.478828,2020-03-26,2020.0,2020.0,2020-03-26,,2020.0,,POINT (9.478828 55.52192700000001),2.8780156233519647
75,75,253,Bramminge Apotek,6,"Storegade 2, st.",6740.0,01Jan1907 0:00:00.000,,1083.0,561.0,1083.0,"Storegade 2, st., 6740 Denmark",55.464728,8.702538,1907-01-01,1907.0,2008.0,1907-01-01,,1907.0,,POINT (8.702538000000001 55.464728),3.656190545970628
76,76,115-1,Brande Apotek,7,Storegade 13,7330.0,01May2009 0:00:00.000,,1082.0,756.0,1082.0,"Storegade 13, 7330 Denmark",55.943996,9.126553999999999,2009-05-01,2009.0,2009.0,2009-05-01,,2009.0,,POINT (9.126553999999999 55.943996),3.239920513562795
77,77,258,Brande Apotek,6,Storegade 13,7330.0,01Jan1916 0:00:00.000,01May2009 0:00:00.000,1082.0,756.0,1082.0,"Storegade 13, 7330 Denmark",55.943996,9.126553999999999,1916-01-01,1916.0,2008.0,1916-01-01,2009-05-01,1916.0,2009.0,POINT (9.126553999999999 55.943996),3.239920513562795
78,78,348-1,Bredalsparken Apotek,7,Hvidovrevej 322,2650.0,03Feb2017 0:00:00.000,,1084.0,167.0,1084.0,"Hvidovrevej 322, 2650 Denmark",55.639075,12.478968,2017-02-03,2017.0,2017.0,2017-02-03,,2017.0,,POINT (12.478968 55.639075),0.12648099956119932
79,79,234-2,Bredballe Apotek,7,Bredballe Center 12,7120.0,12Apr2018 0:00:00.000,,1083.0,630.0,1083.0,"Bredballe Center 12, 7120 Denmark",55.718807,9.60862,2018-04-12,2018.0,2018.0,2018-04-12,,2018.0,,POINT (9.60862 55.718807),2.7457817053571465
80,80,234-A1,Bredballe Apoteksudsalg,8,Bredballe Center 23,7120.0,,12Apr2018 0:00:00.000,1083.0,630.0,1083.0,"Bredballe Center 23, 7120 Denmark",55.718908,9.609148,,,2008.0,,2018-04-12,,2018.0,POINT (9.609147999999999 55.718908),2.7452561349435145
81,81,349-A1,Brede Apoteksudsalg,8,"Brede Torv, Lystoftevej 52",2800.0,,31Jul2017 0:00:00.000,1084.0,173.0,1084.0,"Brede Torv, Lystoftevej 52, 2800 Denmark",55.7704,12.5038,,,2008.0,,2017-07-31,,2017.0,POINT (12.5038 55.7704),0.1884185023319105
82,82,289-1,Broager Apotek,7,Storegade 6 A,6310.0,,,1083.0,540.0,1083.0,"Storegade 6 A, 6310 Denmark",54.8871429,9.6743018,,,2008.0,,,,,POINT (9.6743018 54.8871429),2.7876656560142665
83,83,105-3,Brovst Apotek,7,Østergade 16,9460.0,01Nov2009 0:00:00.000,,1081.0,849.0,1081.0,"Østergade 16, 9460 Denmark",57.09729300000001,9.524836,2009-11-01,2009.0,2009.0,2009-11-01,,2009.0,,POINT (9.524836000000001 57.09729300000001),3.1746318477458164
84,84,167,Brovst Apotek,6,Vestergade 6,9460.0,01-01-1897 00:00,01Nov2009 0:00:00.000,1081.0,849.0,1081.0,"Vestergade 6, 9460 Denmark",57.097513,9.522508,1897-01-01,1897.0,2008.0,1897-01-01,2009-11-01,1897.0,2009.0,POINT (9.522508 57.097513),3.176806249516957
85,85,337-2,Bruuns Apotek,7,"M.P. Bruuns Gade 25, 99",8000.0,01May2016 0:00:00.000,,1082.0,751.0,1082.0,"M.P. Bruuns Gade 25, 99, 8000 Denmark",55.6471,12.2742,2016-05-01,2016.0,2016.0,2016-05-01,,2016.0,,POINT (12.2742 55.6471),0.08005047420846385
86,86,355-1,Brøndby Strand Apotek,7,Brøndby Strand Centrum 16,2660.0,,,1084.0,153.0,1084.0,"Brøndby Strand Centrum 16, 2660 Denmark",55.621545,12.42262,,,2008.0,,,,,POINT (12.42262 55.621545),0.07728833408736588
87,87,354-1,Brøndbyvester Apotek,7,Søndre Ringvej 41F,2605.0,01Dec2015 0:00:00.000,,1084.0,153.0,1084.0,"Søndre Ringvej 41F, 2605 Denmark",55.655021,12.395359,2015-12-01,2015.0,2015.0,2015-12-01,,2015.0,,POINT (12.395359 55.655021),0.041690741718035315
88,88,354,Brøndbyøster Apotek,6,Nygårds Plads 29A,2605.0,01Jan1957 0:00:00.000,,1084.0,153.0,1084.0,"Nygårds Plads 29A, 2605 Denmark",55.667522999999996,12.437595,1957-01-01,1957.0,2008.0,1957-01-01,,1957.0,,POINT (12.437595 55.667523),0.084619194518737
