ApotekNr;Navn;TypeID;Adresse;PostNr;Startdato;Slutdato;amt;Kommune;Region
115-1;Brande Apotek;7;Storegade 13;7330;01May2009 0:00:00,000;;1082;756;1082
258;Brande Apotek;6;Storegade 13;7330;01Jan1916 0:00:00,000;01May2009 0:00:00,000;1082;756;1082
348-1;Bredalsparken Apotek;7;Hvidovrevej 322;2650;03Feb2017 0:00:00,000;;1084;167;1084
234-2;Bredballe Apotek;7;Bredballe Center 12;7120;12Apr2018 0:00:00,000;;1083;630;1083
234-A1;Bredballe Apoteksudsalg;8;Bredballe Center 23;7120;01.01.2000;12Apr2018 0:00:00,000;1083;630;1083
349-A1;Brede Apoteksudsalg;8;Brede Torv, Lystoftevej 52;2800;;31Jul2017 0:00:00,000;1084;173;1084
296;Broager;6;Storegade 21, Broager kommune;;17Jan1912 0:00:00,000;30Jul1977 0:00:00,000;;540;
289-1;Broager Apotek;7;Storegade 6 A;6310;01.01.1992;;1083;540;1083
105-3;Brovst Apotek;7;Østergade 16;9460;01Nov2009 0:00:00,000;;1081;849;1081
167;Brovst Apotek;6;Vestergade 6;9460;01-01-1897 00:00;01Nov2009 0:00:00,000;1081;849;1081
337-2;Bruuns Apotek;7;M.P. Bruuns Gade 25, 99;8000;01May2016 0:00:00,000;;1082;751;1082
355-1;Brøndby Strand Apotek;7;Brøndby Strand Centrum 16;2660;01.01.1992;;1084;153;1084
354-1;Brøndbyvester Apotek;7;Søndre Ringvej 41F;2605;01Dec2015 0:00:00,000;;1084;153;1084
354;Brøndbyøster Apotek;6;Nygårds Plads 29A;2605;01Jan1957 0:00:00,000;;1084;153;1084
172;Brønderslev Apotek;6;Peder Møllers Plads 10;9700;01-01-1883 00:00;;1081;810;1081
172-2;Brønderslev Løve Apotek;7;Løvbjerg Arkaden 14;9700;03Dec2016 0:00:00,000;;1081;810;1081
341-4;Brønshøj Apotek;7;Højenhald 2;2700;29Apr2016 0:00:00,000;;1084;101;1084
094;Brørup;6;Ved Kolding-varde vejen;;12-08-1848 00:00;31Aug1976 0:00:00,000;;575;
253-1;Brørup Apotek;7;Søndergade 17;6650;01.01.1992;;1083;575;1083
358;Buddinge Apotek;13;Søborg Hovedgade 201;2860;01Jan1961 0:00:00,000;;1084;159;1084
276;Børkop Apotek;13;Ny Boder 16;7080;01Jan1907 0:00:00,000;;1083;630;1083
194;Bøvlingbjerg;6;Tangsøgade 34, Lemvig;;11Feb1902 0:00:00,000;01Jun1994 0:00:00,000;1082;665;
120-1;Bøvlingbjerg Apotek;7;Fårevej 143, Lejlighed 1;7650;02.03.2009;;1082;665;1082
159;Charlottenlund Apotek;6;Lindegårdsvej 51, st;2920;01-01-1894 00:00;;1084;157;1084
290;Christiansfeld Apotek;6;Lindegade 21;6070;01-01-1786 00:00;01Jun2008 0:00:00,000;1083;621;1083
291-1;Christiansfeld Apotek;7;Lindegade 35 C;6070;01.06.2008;;1083;621;1083
017-3;City 2 Apoteket;7;Cityringen 4, 218;2630;31Mar2016 0:00:00,000;;1084;169;1084
252-A2;City 2 Apoteksudsalg;8;City 2;2630;25Jun2001 0:00:00,000;11Jan2016 0:00:00,000;1084;169;1084
414;Dianalund Apotek;6;Torvet 8;2630;01.01.1992;16.10.2009;1085;340;1085
207-1;Dianalund Apotek;7;Torvet 5;4293;01.11.2008;;1085;340;1085
350-1;Dragør Apotek;7;Maglebytorv 18;2791;01Sep2006 0:00:00,000;;1084;155;1084
326-2;Dronningborg Apotek;7;Skovlyvej 15;8930;24Apr2017 0:00:00,000;;1082;730;1082
316-1;Dronningensvej Apotek;7;Dronningensvej 5, st. tv.;5800;06Jun2016 0:00:00,000;;1083;450;1083
144;Dronninglund Apotek;6;Slotsgade 64;9330;01-01-1876 00:00;;1081;810;1081
078-2;Dæmningens Apotek;7;Dæmningen 17;7400;06Dec2018 0:00:00,000;;1082;657;1082
070;Ebeltoft Apotek;6;Bryggerivej 4;8400;01-01-1815 00:00;;1082;706;1082
273-1;Egeris Apotek;7;Kirke Allé 94;7800;04Apr2016 0:00:00,000;;1082;779;1082
122;Egtved Apotek;13;Aftensang 10;6040;01-01-1871 00:00;;1083;630;1083
178-3;Egå Apotek;7;Egå Havvej 2H;8250;08Jan2018 0:00:00,000;;1082;751;1082
178-A1;Egå Apoteksudsalg;8;Egå Havvej 2H;8250;01.01.2000;08Jan2018 0:00:00,000;1082;751;1082
189;Ejby Apotek;6;Algade 4;5592;01Jan1901 0:00:00,000;;1083;410;1083
131-2;Engelsborg Apotek;7;Fabrikvej 2;8800;02Nov2015 0:00:00,000;;1082;791;1082
015-A3;Erritsø Apoteksudsalg;8;Erritsø Butikstorv;7000;05.02.2009;01Feb2016 0:00:00,000;1083;607;1083
363-3;Esbjerg City Nord Apotek;7;Stormgade 157;6715;01Oct2016 0:00:00,000;;1083;561;1083
363;Esbjerg Jerne Apotek;6;Strandby Kirkevej 80;6705;01Jan1967 0:00:00,000;;1083;561;1083
158;Esbjerg Krone Apotek;6;Kongensgade 36;6700;01Jan1929 0:00:00,000;;1083;561;1083
158-1;Esbjerg Krone Apotek Broen;7;Exnersgade 18, st. 15;6700;10Apr2017 0:00:00,000;;1083;561;1083
319;Esbjerg Løve Apotek;6;Torvegade 43, Esbjerg;;18Mar1929 0:00:00,000;01Nov1992 0:00:00,000;;561;
233;Esbjerg Neptun Apotek;6;Stormgade 2;6700;01Jan1910 0:00:00,000;;1083;561;1083
154-1;Espergærde Apotek;7;Nørremarken 3;3060;01.01.1992;;1084;217;1084
206;Fakse Apotek;6;Rønnedevej 15;4640;01-01-1892 00:00;;1085;320;1085
093;Fanø Apotek;6;Hovedgaden 64;6720;01.01.1992;29.02.2008;1083;563;1083
363-1;Fanø Apotek;7;Hovedgaden 64;6720;01.03.2008;;1083;563;1083
107;Farsø Apotek;6;Nørregade 11;9640;01-01-1860 00:00;01May2018 0:00:00,000;1081;820;1081
259-2;Farsø Apotek;7;Torvet 8;9640;01May2018 0:00:00,000;;1081;820;1081
278;Farum Apotek;6;Farum Bytorv 69;3520;01-01-1885 00:00;;1084;190;1084
012-A1;Fensmark Apoteksudsalg;8;Holmegårdsvej 1 A, Fensmark;4684;01.01.1992;;1085;370;1085
152-A3;Ferritslev Apoteksudsalg;8;Ørbækvej 883;5863;01Sep2013 0:00:00,000;02May2016 0:00:00,000;1083;430;1083
029-2;Fields Apotek;7;Arne Jacobsens Allé 12;2300;20Jul2015 0:00:00,000;;1084;101;1084
029-A1;Fields Copenhagen Apoteksudsalg;8;Arne Jacobsens Allé 12;2300;01Aug2010 0:00:00,000;20Jul2015 0:00:00,000;1084;101;1084
039-1;Fjerritslev Apotek;7;Østergade 11-13;9690;01Jul2010 0:00:00,000;;1081;849;1081
073;Fjerritslev Apotek;6;Jernbanegade 2;9690;01-01-1824 00:00;30Jun2010 0:00:00,000;1081;849;1081
068-2;Fjord Apoteket Frederikssund;7;Kalvøvej 2A;3600;12Nov2018 0:00:00,000;;1084;250;1084
177-2;Folkebo Apotek;7;Hjallesevej 201B;5230;27Nov2017 0:00:00,000;;1083;461;1083
177-A1;Folkebo Apoteksudsalg;8;Hjallesevej 207;5230;01.01.1992;27Nov2017 0:00:00,000;1083;461;1083
154-2;Fredensborg Apotek;7;Jernbanegade 3;3480;01.01.1992;;1084;210;1084
223;Fredericia Krone Apotek;13;Prinsessegade 45-49;7000;01Jan1907 0:00:00,000;;1083;607;1083
015-2;Fredericia Løve Apoteket Vestcentret;7;Venusvej 10 B;7000;01Jul2015 0:00:00,000;;1083;607;1083
111;Frederiksberg Apotek;6;Gammel Kongevej 162;1850;01-01-1867 00:00;;1084;147;1084
310;Frederiksberg Apoteket Bjørnen;6;Nordens Plads 16;2000;01Nov1977 0:00:00,000;31May2004 0:00:00,000;14;147;
184;Frederiksberg Apoteket Godthåb;6;Godthåbsvej 4;2000;12Nov1901 0:00:00,000;;1084;147;1084
327;Frederiksberg Dalgas Boulevard Apotek;6;Dalgas Boulevard 91;2000;01.03.1994;;1084;147;1084
222;Frederiksberg Fasan Apotek;6;Godthåbsvej 58;2000;01Jan1907 0:00:00,000;23Dec2004 0:00:00,000;14;147;
262;Frederiksberg Gl. Kongevej Apotek;13;Gammel Kongevej 76;1850;01Jan1916 0:00:00,000;;1084;147;1084
334-1;Frederiksberg Løve Apotek;7;Falkoner Alle 88;2000;22Nov2018 0:00:00,000;;1084;147;1084
185;Frederiksberg Smallegades Apotek;6;Smallegade 46;2000;01Jan1900 0:00:00,000;;1084;147;1084
066;Frederikshavn Løve Apotek;6;Hangaardsvej 7;9900;01-01-1810 00:00;;1081;813;1081
313;Frederikshavn Svane Apotek;6;Søndergade 1;9900;01Jan1923 0:00:00,000;;1081;813;1081
068;Frederikssund Apotek;6;Nygade 1, 1. sal 18;3600;01-01-1815 00:00;;1084;250;1084
080;Frederiksværk Apotek;6;Nørregade 4;3300;11-12-1857 00:00;;1084;260;1084
355;Friheden Apotek;6;Strandmarksvej 20;2650;01Jan1958 0:00:00,000;;1084;167;1084
267;Frøstrup Apotek;6;Hanstholm;;14Sep1903 0:00:00,000;01Jul1972 0:00:00,000;;787;
102;Fuglebjerg Apotek;6;Indre Krummerupvej 1;4250;01-01-1856 00:00;31Jul2007 0:00:00,000;1085;370;1085
137-1;Fuglebjerg Apotek;7;Byagervej 6 A;4250;01Aug2007 0:00:00,000;;1085;370;1085
034;Faaborg Løve Apotek;6;Herregårdscentret 6;5600;01-01-1753 00:00;;1083;430;1083
129;Galten Apotek;13;Torvet 3;8464;01-01-1876 00:00;;1082;746;1082
215;Gentofte Apotek;13;Gentoftegade 35;2820;01Jan1904 0:00:00,000;;1084;157;1084
279;Gesten Apotek;6;Vejen Kommune;;05Nov1902 0:00:00,000;30Sep1969 0:00:00,000;;575;
113;Gilleleje Apotek;6;Vesterbrogade 6 B;3250;01-01-1869 00:00;;1084;270;1084
269;Gislev;6;Nyborgvej 11, Ryslinge kommune;;24Jun1907 0:00:00,000;15Feb1973 0:00:00,000;;430;
115;Give Apotek;6;Østergade 8-14;7323;01-01-1869 00:00;;1083;630;1083
024-2;Glamsbjerg Apotek;7;Søndergade 70;5620;01May2017 0:00:00,000;;1083;420;1083
024-1-A1;Glamsbjerg Apoteksudsalg;8;Søndergade 26;5620;18.07.2008;01May2017 0:00:00,000;1083;420;1083
076-A1;Glarbjerg Apoteksudsalg;8;Glarbjergvej 85;8900;01.01.2000;30Nov2004 0:00:00,000;70;731;
274-A3;Glarbjerg Apoteksudsalg;8;Glarbjergvej 85;8900;01Dec2004 0:00:00,000;;1082;730;1082
109;Glostrup Apotek;6;Hovedvejen 101;2600;01-01-1863 00:00;;1084;161;1084
137;Glumsø Apotek;13;Østergade 8;4171;01-01-1883 00:00;;1085;370;1085
286-1;Gram Apotek;7;Torvet 3;6510;01.01.1992;;1083;510;1083
225-A1;Grantoften Apoteksudsalg;8;Grantoftestræde 11;2750;01.04.2000;09Dec2011 0:00:00,000;1084;151;
037;Grenaa Apotek;6;Kannikegade 12;8500;01-01-1753 00:00;;1082;707;1082
370;Greve Apotek;6;Greve Midtby Center 14 B;2670;27Jun2005 0:00:00,000;;1085;253;1085
365-22;Greve Apotek (gl);7;Greve Midtby Center 6 E;2670;01.01.1991;26Jun2005 0:00:00,000;25;253;
088;Grindsted Apotek;6;Borgergade 29;7200;01-01-1842 00:00;;1083;530;1083
088-2;Grindsted Lyng Apotek;7;Vestergade 34;7200;01Nov2019 0:00:00,000;;1083;530;1083
113-A1;Græsted Apoteksudsalg;8;Græsted Hovedgade 8;3230;01.01.1992;;1084;270;1084
289;Gråsten Apotek;6;Sundsnæs 13;6300;01-01-1828 00:00;;1083;540;1083
297-A1;Guderup Apoteksudsalg;8;Mosevej 1, Guderup;6430;01.04.2003;11Jul2014 0:00:00,000;1083;540;1083
298-1-A1;Guderup Apoteksudsalg;8;Mosevej 1, Guderup;6430;01Feb2014 0:00:00,000;;1083;540;1083
136-1;Guldborgsund Svane Apotek;7;Guldborgsundcentret 23, Sundby;4800;01Jun2020 0:00:00,000;;1085;376;1085
323-2;Gyldenrisparkens Apotek;7;Amagerbrogade 264;2300;01Sep2015 0:00:00,000;;1084;101;1084
201;Gørding;6;Søndergade 3, Bramminge;;05Nov1902 0:00:00,000;30Aug1975 0:00:00,000;;561;
097;Gørlev;6;Østerled 35, Gørlev;;24Dec1907 0:00:00,000;28Feb1990 0:00:00,000;;326;
254-1;Gørlev Apotek;7;Algade 29;4281;01.01.1991;;1085;326;1085
291;Haderslev Hjorte Apotek;6;Bispebroen 2 A;6100;01-01-1753 00:00;;1083;510;1083
047-2;Haderslev Krone Apotek;7;Bredgade 12;6100;29Aug2019 0:00:00,000;;1083;510;1083
292;Haderslev Løve Apotek;13;Jomfrustien 40;6100;01-01-1802 00:00;;1083;510;1083
164;Hadsten Apotek;6;Vesselbjergvej 8;8370;01-01-1896 00:00;;1082;710;1082
164-2;Hadsten Gazelle Apotek;7;Bavne Allé 25;8370;01Feb2016 0:00:00,000;13Dec2016 0:00:00,000;1082;710;
218;Hadsund Apotek;6;Storegade 23-25;9560;01Jan1905 0:00:00,000;;1081;846;1081
125;Hallund;6;Sølvgade 73, Brønderslev;;15-08-1873 00:00;29Nov1975 0:00:00,000;;;
144-1;Hals Apotek;7;Havnegade 7A;9370;01Feb2006 0:00:00,000;;1081;851;1081
245;Hals Apotek;6;Havnegade 4;9370;01Jan1903 0:00:00,000;01Feb2006 0:00:00,000;80;817;
087;Hammel Frijsenborg Apotek;13;Østergade 1;8450;01-01-1841 00:00;;1082;710;1082
237;Hammershøj;6;Ranersvej 13. Tjele;;24Jun1907 0:00:00,000;30Nov1980 0:00:00,000;;;
131-1;Hammershøj Apotek;7;Randersvej 8;8830;01.01.1992;;1082;791;1082
247-A1;Hanstholm Apoteksudsalg;8;Bytorvet 20;7730;01.01.1992;;1081;787;1081
129-1;Harlev Apotek;7;Gl. Stillingvej 427;8462;01Sep2015 0:00:00,000;;1082;746;1082
129-A1;Harlev Apoteksudsalg;8;Gl. Stillingvej 427;8462;02Dec2002 0:00:00,000;01Sep2015 0:00:00,000;1082;746;1082
337-1;Hasle Apotek;7;Hasle Torv, Viborgvej 150;8210;16Nov2015 0:00:00,000;;1082;751;1082
337-A1;Hasle Apoteksudsalg;8;Hasle Torv, Viborgvej 150;8210;01.01.2000;13Nov2015 0:00:00,000;1082;751;1082
100;Haslev Apotek;6;Jernbanegade 11;4690;01-01-1856 00:00;;1085;320;1085
255-1;Hasseris Apotek;7;Hasseris Bymidte 9;9000;01Sep2015 0:00:00,000;;1081;851;1081
255-A2;Hasseris Bymidte Apoteksudsalg;8;Hasseris Bymidte 9;9000;01.01.2000;01Sep2015 0:00:00,000;1081;851;1081
221;Havdrup Apotek;6;Skovvej 5, Postboks 10;4622;01Jan1907 0:00:00,000;27Jun2005 0:00:00,000;25;269;
370-1;Havdrup Apotek;7;Møllemarken 8;4622;27Jun2005 0:00:00,000;;1085;269;1085
192;Haverslav;6;Jyllandsgade 20, Nørager;;28Oct1901 0:00:00,000;31Jul1974 0:00:00,000;;;
156-3;Havne Apoteket;7;Windfeld Hansensgade 2;7100;01Sep2016 0:00:00,000;;1083;630;1083
225-3;Hedegårdens Apotek;7;Hedeparken 9;2750;20Jun2016 0:00:00,000;;1084;151;1084
225-A2;Hedegårdens Apoteksudsalg;8;Hedeparken 9;2750;01.04.2000;20Jun2016 0:00:00,000;1084;151;1084
252-1;Hedehusene Apotek;7;Hovedgaden 421;2640;01.01.1992;;1084;169;1084
248;Hedensted Apotek;6;Bytorvet 21 B;8722;01Jan1914 0:00:00,000;;1082;766;1082
182;Hellerup Apotek;13;Strandvejen 165;2900;01Jan1900 0:00:00,000;;1084;157;1084
264;Hellerup Jernbane;6;Hellerupvej 40, 2900 Hellerup;;20Jan1917 0:00:00,000;30Nov1974 0:00:00,000;;;
330;Hellerup Øregård Apotek;6;Strandvejen 203;2900;01Jan1932 0:00:00,000;31Oct2003 0:00:00,000;15;157;
191;Helsinge Apotek;6;Østergade 35;3200;01Jan1901 0:00:00,000;;1084;270;1084
364;Helsingør Axeltorvs Apotek;6;Groskenstræde 2 A;3000;01Jan1968 0:00:00,000;;1084;217;1084
238;Helsingør Stengades Apotek;6;Stengade 46;3000;01Jan1912 0:00:00,000;;1084;217;1084
004;Helsingør Svane;6;;;01Jan1900 0:00:00,000;31Aug1970 0:00:00,000;;;
368-2;Herfølge Apotek;7;Vordingborgvej 106;4681;01Feb2017 0:00:00,000;;1085;259;1085
368-A1;Herfølge Apoteksudsalg;8;Vordingborgvej 106;4681;01.11.2015;31Jan2016 0:00:00,000;1085;259;1085
351;Herlev Apotek;6;Herlev Torv 13;2730;01Jan1951 0:00:00,000;;1084;163;1084
078;Herning Løve Apotek;6;Bredgade 45;7400;01-01-1832 00:00;;1082;657;1082
281;Herning Østergades Apotek;6;Østergade 5;7400;15Sep1920 0:00:00,000;;1082;657;1082
035-1;Hesselager Apotek;7;Langgade 5;5874;01Jun2012 0:00:00,000;;1083;479;1083
117;Hesselager Apotek;6;Langgade 20;5874;01-01-1870 00:00;01Jun2012 0:00:00,000;1083;479;1083
044;Hillerød Frederiksborg Apotek;6;Slotsgade 26;3400;01-01-1792 00:00;;1084;219;1084
367;Hillerød Krone Apotek;6;Helsingørsgade 10;3400;01Jan1998 0:00:00,000;;1084;219;1084
367-2;Hillerød Øst Apotek;7;Fredskovhellet 1;3400;27Apr2020 0:00:00,000;;1084;219;1084
164-1;Hinnerup Apotek;7;Storegade 5;8382;01Oct2006 0:00:00,000;;1082;710;1082
356;Hirtshals Apotek;6;Jørgen Fibigersgade 18;9850;01Jan1959 0:00:00,000;;1081;860;1081
144-2;Hjallerup Apotek;7;Søndergade 6;9320;19Mar2018 0:00:00,000;;1081;810;1081
144-A1;Hjallerup Apoteksudsalg;8;Søndergade 6;9320;01.01.2001;19Mar2018 0:00:00,000;1081;810;1081
345-A1;Hjallese Apoteksudsalg;8;Odensevej 18 B;5260;01.01.2000;29Apr2013 0:00:00,000;1083;461;
363-2;Hjerting Apotek;7;Havbakken 2;6710;01Dec2015 0:00:00,000;;1083;561;1083
351-A1;Hjortespring-Centrets Apoteksudsalg;8;Dildhaven 45;2730;01.07.2010;30.09.2020;1084;163;1084
045-1;Hjørring Hjorte Apotek;7;Frederikshavnsvej 44;9800;01Feb2018 0:00:00,000;;1081;860;1081
045;Hjørring Løve Apotek;6;Østergade 7 A;9800;01-01-1794 00:00;;1081;860;1081
236;Hjørring Svane Apotek;6;Strømgade 5;9800;01Jan1911 0:00:00,000;30Jun2019 0:00:00,000;1081;860;1081
054;Hobro Apotek;6;Adelgade 18;9500;01-01-1803 00:00;;1081;846;1081
026;Holbæk Elefant Apotek;13;Ahlgade 32;4300;01-01-1753 00:00;;1085;316;1085
239;Holbæk Løve Apotek;6;Labæk 4-6;4300;01Jan1913 0:00:00,000;;1085;316;1085
025-A2;Holeby Apoteksudsalg;8;;;31Aug2008 0:00:00,000;27Apr2010 0:00:00,000;1085;360;
030;Holstebro Løveapotek;6;Store Torv 8;7500;01-01-1753 00:00;;1082;661;1082
275;Holstebro Svane Apotek;6;Nørregade 51;7500;01Jan1917 0:00:00,000;;1082;661;1082
253-2;Holsted Apotek;7;Søndergade 16;6670;01Jun2005 0:00:00,000;;1083;575;1083
268;Holsted Apotek;6;Søndergade 16;6670;01Jan1906 0:00:00,000;01Jun2005 0:00:00,000;55;569;
283;Holte Apotek;6;Holte Midtpunkt 20, 1. sal;2840;01Jan1919 0:00:00,000;;1084;230;1084
226;Hornbæk;6;Sauntevej 2, Hornbæk;;04Mar1908 0:00:00,000;30Sep1976 0:00:00,000;;;
113-1;Hornbæk Apotek;7;Sauntevej 2;3100;01.01.1992;;1084;217;1084
011-2;Hornbæk Løve Apotek;7;Viborgvej 102A;8920;02Nov2015 0:00:00,000;;1082;730;1082
104;Hornslet Apotek;6;Byvej 8;8543;01-01-1857 00:00;;1082;706;1082
108;Hornsyld Apotek;6;Apotekerbakken 23;8783;01-01-1860 00:00;27May2015 0:00:00,000;1082;766;1082
248-A1;Hornsyld Apoteksudsalg;8;Apotekerbakken 23;8783;01.05.2015;;1082;766;1082
321;Horsens Hvide Hest;6;Amaliegade 5, Horsens;;23Aug1929 0:00:00,000;31Jul1986 0:00:00,000;;;
166;Horsens Løve Apotek;6;Nørretorv 2;8700;01-01-1897 00:00;;1082;615;1082
118;Horsens Svane Apotek;6;Grønlandsvej 1 D;8700;01-01-1870 00:00;;1082;615;1082
019;Horsens Søndergades Apotek;6;Søndergade 12;8700;01-01-1753 00:00;;1082;615;1082
183-1;Hovedbanens Apotek;7;Bernstorffsgade 16;1577;04Sep2017 0:00:00,000;;1084;101;1084
272;Hovedgård;6;Greved Kommune;;24Jun1907 0:00:00,000;30Nov1989 0:00:00,000;;;
166-1;Hovedgård Apotek;7;Ørridslevvej 1;8732;01.01.1992;;1082;615;1082
027-1;Humble Apotek;7;Hovedgaden 2;5932;30Sep1998 0:00:00,000;;1083;482;1083
251;Humble Apotek;6;Hovedgaden 2, 5932 Humble;;23Apr1915 0:00:00,000;30Sep1998 0:00:00,000;1083;482;
154;Humlebæk Apotek;6;Humlebæk Center 23;3050;01-01-1893 00:00;;1084;210;1084
263;Hundborg;6;Thisted Kommune;;24Jun1907 0:00:00,000;31Dec1967 0:00:00,000;;;
080-1;Hundested Apotek;6;Nørregade 54;3390;01.01.1992;;1084;260;1084
365;Hundige Apotek;6;Over Bølgen 19H;2670;01Jan1976 0:00:00,000;;1085;253;1085
277;Hurup Apotek;6;Sundsvej 1;7760;15Dec1918 0:00:00,000;;1081;787;1081
341-5;Husum Bypark Apotek;7;Frederikssundsvej 284 (i Føtex);2700;01Sep2017 0:00:00,000;;1084;101;1084
119;Hvalsø Apotek;6;Roskildevej 4;4330;01-01-1871 00:00;;1085;350;1085
074;Hvidbjerg Thyholm;6;(formentlig)i Søndbjerg, Thyholm;;04-09-1822 00:00;30Apr1970 0:00:00,000;;;
038-A1;Hvide Sande Apoteksudsalg;8;Metheasvej 1;6960;01.01.2000;;1082;760;1082
348;Hvidovre Apotek;6;Hvidovrevej 178;2650;01Jan1950 0:00:00,000;;1084;167;1084
348-A1;Hvidovre C Apoteksudsalg;8;;;;26Nov2014 0:00:00,000;1084;167;1084
348-2;Hvidovre Hospital Privatapoteket;7;Kettegård alle 30;2650;12Sep2018 0:00:00,000;;1084;167;1084
