TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
2139,1kmN3635E4476,DK,A,2011,DK,0
1633,1kmN3635E4477,DK,A,2011,DK,0
1695,1kmN3635E4478,DK,A,2011,DK,0
1685,1kmN3635E4479,DK,A,2011,DK,0
1251,1kmN3635E4480,DK,A,2011,DK,0
5,1kmN3635E4482,DK,A,2011,DK,0
143,1kmN3635E4483,DK,A,2011,DK,0
98,1kmN3636E4481,DK,A,2011,DK,0
9,1kmN3636E4483,DK,A,2011,DK,0
5004,1kmN3620E4475,DK,A,2011,DK,0
565,1kmN3621E4474,DK,A,2011,DK,0
6694,1kmN3621E4475,DK,A,2011,DK,0
3517,1kmN3621E4476,DK,A,2011,DK,0
2286,1kmN3622E4474,DK,A,2011,DK,0
4245,1kmN3622E4475,DK,A,2011,DK,0
2811,1kmN3622E4476,DK,A,2011,DK,0
1535,1kmN3623E4474,DK,A,2011,DK,0
3332,1kmN3623E4475,DK,A,2011,DK,0
430,1kmN3624E4473,DK,A,2011,DK,0
2226,1kmN3624E4474,DK,A,2011,DK,0
3531,1kmN3624E4475,DK,A,2011,DK,0
115,1kmN3625E4473,DK,A,2011,DK,0
2153,1kmN3625E4474,DK,A,2011,DK,0
1378,1kmN3613E4469,DK,A,2011,DK,0
266,1kmN3613E4470,DK,A,2011,DK,0
15,1kmN3614E4466,DK,A,2011,DK,0
306,1kmN3614E4467,DK,A,2011,DK,0
4320,1kmN3614E4468,DK,A,2011,DK,0
7179,1kmN3614E4469,DK,A,2011,DK,0
1766,1kmN3614E4470,DK,A,2011,DK,0
20,1kmN3615E4460,DK,A,2011,DK,0
7,1kmN3615E4461,DK,A,2011,DK,0
144,1kmN3615E4462,DK,A,2011,DK,0
125,1kmN3615E4463,DK,A,2011,DK,0
87,1kmN3615E4464,DK,A,2011,DK,0
87,1kmN3615E4465,DK,A,2011,DK,0
589,1kmN3615E4466,DK,A,2011,DK,0
48,1kmN3615E4467,DK,A,2011,DK,0
204,1kmN3615E4468,DK,A,2011,DK,0
2574,1kmN3615E4469,DK,A,2011,DK,0
32,1kmN3616E4460,DK,A,2011,DK,0
45,1kmN3616E4461,DK,A,2011,DK,0
10,1kmN3616E4462,DK,A,2011,DK,0
148,1kmN3616E4465,DK,A,2011,DK,0
47,1kmN3616E4466,DK,A,2011,DK,0
15,1kmN3616E4467,DK,A,2011,DK,0
13,1kmN3616E4468,DK,A,2011,DK,0
6,1kmN3611E4482,DK,A,2011,DK,0
174,1kmN3611E4483,DK,A,2011,DK,0
62,1kmN3611E4484,DK,A,2011,DK,0
56,1kmN3611E4485,DK,A,2011,DK,0
1524,1kmN3612E4483,DK,A,2011,DK,0
440,1kmN3612E4484,DK,A,2011,DK,0
4,1kmN3612E4485,DK,A,2011,DK,0
1474,1kmN3613E4483,DK,A,2011,DK,0
