,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear
570,298,"Sønderborg Løve Apotek, Center Øst",6,Grundtvigs Allé 179,6400.0,01-01-1753 00:00,,1083.0,540.0,1083.0,"Grundtvigs Allé 179, 6400 Denmark",54.921095,9.808285,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
571,298-2,"Sønderborg Løve Apotek, Perlegade",7,Perlegade 28,6400.0,06Oct2016 0:00:00.000,,1083.0,540.0,1083.0,"Perlegade 28, 6400 Denmark",54.910969,9.791321,2016-10-06,2016.0,2016.0,2016-10-06,,2016.0,
572,121-1,Søndersø Apotek,7,Toftekær 2,5471.0,01Jun2015 0:00:00.000,,1083.0,480.0,1083.0,"Toftekær 2, 5471 Denmark",55.481928,10.252629,2015-06-01,2015.0,2015.0,2015-06-01,,2015.0,
573,165,Søndersø Apotek,6,Odensevej 23,5471.0,01-01-1881 00:00,01Jun2015 0:00:00.000,1083.0,480.0,1083.0,"Odensevej 23, 5471 Denmark",55.484384,10.251017,1881-01-01,1881.0,2008.0,1881-01-01,2015-06-01,1881.0,2015.0
574,112-1,Søtorvet Apotek,7,Søtorvet 1,8600.0,25Jul2016 0:00:00.000,,1082.0,740.0,1082.0,"Søtorvet 1, 8600 Denmark",55.685712,12.565366,2016-07-25,2016.0,2016.0,2016-07-25,,2016.0,
575,098,Tarm Apotek,6,Storegade 27,6880.0,09-12-1851 00:00,,1082.0,760.0,1082.0,"Storegade 27, 6880 Denmark",55.907132,8.520984,1851-09-12,1851.0,2008.0,1851-09-12,,1851.0,
576,357-1,Tarup Apotek,7,Rugvang 36-40,5210.0,,,1083.0,461.0,1083.0,"Rugvang 36-40, 5210 Denmark",55.4104258,10.3402796,,,2008.0,,,,
577,218-2,Terndrup Apotek,7,Hadsundvej 7,9575.0,01Aug2016 0:00:00.000,,1081.0,840.0,1081.0,"Hadsundvej 7, 9575 Denmark",56.813473,10.058211,2016-08-01,2016.0,2016.0,2016-08-01,,2016.0,
578,218-A1,Terndrup Apoteksudsalg,8,Hadsundvej 7,9575.0,,01Aug2016 0:00:00.000,1081.0,840.0,1081.0,"Hadsundvej 7, 9575 Denmark",56.813473,10.058211,,,2008.0,,2016-08-01,,2016.0
579,247,Thisted Løve Apotek,6,Sydhavnsvej 11,7700.0,01Jan1914 0:00:00.000,,1081.0,787.0,1081.0,"Sydhavnsvej 11, 7700 Denmark",56.951526,8.693209,1914-01-01,1914.0,2008.0,1914-01-01,,1914.0,
580,039,Thisted Svane Apotek,6,Storegade 5,7700.0,01-01-1753 00:00,,1081.0,787.0,1081.0,"Storegade 5, 7700 Denmark",56.9547934,8.6944703,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
581,064-A1,Thyborøn Apoteksudsalg,8,Bredgade 7,7680.0,,,1082.0,665.0,1082.0,"Bredgade 7, 7680 Denmark",56.704534,8.219389,,,2008.0,,,,
