,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear
653,189-A2,Vissenbjerg Apoteksudsalg,8,Østergade 11,5492.0,01Jan2009 0:00:00.000,18Sep2017 0:00:00.000,1083.0,420.0,1083.0,"Østergade 11, 5492 Denmark",55.385161,10.13666,2009-01-01,2009.0,2009.0,2009-01-01,2017-09-18,2009.0,2017.0
654,092-2,Vodskov Apotek,7,Vodskovvej 41,9310.0,01Jul2015 0:00:00.000,,1081.0,851.0,1081.0,"Vodskovvej 41, 9310 Denmark",57.104704,10.029508,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,
655,092-A2,Vodskov Apoteksudsalg,8,Vodskovvej 41,9310.0,,01Jul2015 0:00:00.000,1081.0,851.0,1081.0,"Vodskovvej 41, 9310 Denmark",57.104704,10.029508,,,2008.0,,2015-07-01,,2015.0
656,311,Vojens Apotek,6,Rådhuscentret 11A,6500.0,01Jan1922 0:00:00.000,,1083.0,510.0,1083.0,"Rådhuscentret 11A, 6500 Denmark",55.246032,9.291409,1922-01-01,1922.0,2008.0,1922-01-01,,1922.0,
657,032,Vordingborg Apotek,13,Voldgade 20,4760.0,01-01-1753 00:00,,1085.0,390.0,1085.0,"Voldgade 20, 4760 Denmark",55.00956,11.909083,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
658,160,Vrå Apotek,6,Jernbanegade 6,9760.0,01Jan1907 0:00:00.000,31Aug2013 0:00:00.000,1081.0,860.0,1081.0,"Jernbanegade 6, 9760 Denmark",57.353965,9.942166,1907-01-01,1907.0,2008.0,1907-01-01,2013-08-31,1907.0,2013.0
659,172-1,Vrå Apotek,7,Jernbanegade 6,9760.0,01Sep2013 0:00:00.000,,1081.0,860.0,1081.0,"Jernbanegade 6, 9760 Denmark",57.353965,9.942166,2013-09-01,2013.0,2013.0,2013-09-01,,2013.0,
660,362,Værløse Apotek,6,Bymidten 13,3500.0,01Jan1967 0:00:00.000,,1084.0,190.0,1084.0,"Bymidten 13, 3500 Denmark",55.784539,12.373718,1967-01-01,1967.0,2008.0,1967-01-01,,1967.0,
661,202-1,Waterfront Apotek Hellerup,7,Philip Heymans Alle 17,2900.0,01Mar2017 0:00:00.000,,1084.0,157.0,1084.0,"Philip Heymans Alle 17, 2900 Denmark",55.725991,12.580248,2017-03-01,2017.0,2017.0,2017-03-01,,2017.0,
662,410,Webapoteket / Gazelle Online Apotek,6,Bavne Allé 25,8370.0,13Dec2016 0:00:00.000,,1082.0,710.0,1082.0,"Bavne Allé 25, 8370 Denmark",56.32052,10.079663,2016-12-13,2016.0,2016.0,2016-12-13,,2016.0,
663,315-A1,Ærøskøbing Apoteksudsalg,8,Vestergade 34,5970.0,,31May2016 0:00:00.000,1083.0,492.0,1083.0,"Vestergade 34, 5970 Denmark",54.889546,10.410224,,,2008.0,,2016-05-31,,2016.0
664,368-1,Ølby Apotek,7,Ølby Center 25,4600.0,,,1085.0,259.0,1085.0,"Ølby Center 25, 4600 Denmark",55.458,12.1821,,,2008.0,,,,
665,098-1,Ølgod Apotek,7,Torvet 4,6870.0,01Oct2010 0:00:00.000,,1083.0,573.0,1083.0,"Torvet 4, 6870 Denmark",55.807494,8.619919,2010-10-01,2010.0,2010.0,2010-10-01,,2010.0,
666,209,Ølgod Apotek,6,Torvet 4,6870.0,01Jan1903 0:00:00.000,27Oct2010 0:00:00.000,1083.0,573.0,1083.0,"Torvet 4, 6870 Denmark",55.807494,8.619919,1903-01-01,1903.0,2008.0,1903-01-01,2010-10-27,1903.0,2010.0
667,369-1,Ølstykke Apotek,7,Rådhus Alle 9,3650.0,01Nov2019 0:00:00.000,,1084.0,240.0,1084.0,"Rådhus Alle 9, 3650 Denmark",55.792636,12.156717,2019-11-01,2019.0,2019.0,2019-11-01,,2019.0,
668,369-A1,Ølstykke Apoteksudsalg,8,Rådhus Allé 9,3650.0,01Jun2004 0:00:00.000,01Nov2019 0:00:00.000,1084.0,240.0,1084.0,"Rådhus Allé 9, 3650 Denmark",55.792636,12.156717,2004-06-01,2004.0,2008.0,2004-06-01,2019-11-01,2004.0,2019.0
669,152-1,Ørbæk Apotek,7,Nyborgvej 2,5853.0,,,1083.0,450.0,1083.0,"Nyborgvej 2, 5853 Denmark",55.258529,10.673193,,,2008.0,,,,
670,103,Ørsted Apotek,13,Rougsøvej 89,8950.0,01-01-1857 00:00,31Jan2010 0:00:00.000,1082.0,707.0,1082.0,"Rougsøvej 89, 8950 Denmark",56.501669,10.334769,1857-01-01,1857.0,2008.0,1857-01-01,2010-01-31,1857.0,2010.0
671,314-1,Øster Jølby Apotek,7,Doktor Lunds Vej 4,7950.0,,,1081.0,773.0,1081.0,"Doktor Lunds Vej 4, 7950 Denmark",56.83329,8.718862,,,2008.0,,,,
672,018-A1,Østerbro Apoteksudsalg,8,Vendsysselvej 5 B,4800.0,01Apr2008 0:00:00.000,13Nov2015 0:00:00.000,1085.0,376.0,1085.0,"Vendsysselvej 5 B, 4800 Denmark",54.7544899,11.8895495,2008-04-01,2008.0,2008.0,2008-04-01,2015-11-13,2008.0,2015.0
673,017-5,Østerparkens Apotek,7,Taastrup Hovedgade 87,2630.0,02Jun2020 0:00:00.000,,1084.0,169.0,,"Taastrup Hovedgade 87, 2630 Denmark",55.64986,12.301664,2020-06-02,2020.0,2020.0,2020-06-02,,2020.0,
674,069-1,Østervrå Apotek,7,Industrivej 10,9750.0,01Aug2005 0:00:00.000,,1081.0,813.0,1081.0,"Industrivej 10, 9750 Denmark",57.340565,10.238498,2005-08-01,2005.0,2008.0,2005-08-01,,2005.0,
675,244,Østervrå Apotek,6,Hjørringvej 447,9750.0,01Jan1913 0:00:00.000,01Aug2005 0:00:00.000,1081.0,813.0,,"Hjørringvej 447, 9750 Denmark",57.343173,10.23478,1913-01-01,1913.0,2008.0,1913-01-01,2005-08-01,1913.0,2005.0
676,288,Aabenraa Løve Apotek,6,Madevej 9,6200.0,01-01-1753 00:00,,1083.0,580.0,1083.0,"Madevej 9, 6200 Denmark",55.043839,9.42051,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
677,287,Aabenraa Svane Apotek,6,Opnørplads 1-3,6200.0,01-01-1851 00:00,,1083.0,580.0,1083.0,"Opnørplads 1-3, 6200 Denmark",55.0433499,9.4227116,1851-01-01,1851.0,2008.0,1851-01-01,,1851.0,
678,105,Aabybro Apotek,6,Østergade 36,9440.0,,,1081.0,849.0,1081.0,"Østergade 36, 9440 Denmark",57.159459,9.732615,,,2008.0,,,,
679,082-A1,Aakirkeby Apoteksudsalg,8,Eskildsgade 7,3720.0,01Jan1900 0:00:00.000,,1084.0,400.0,1084.0,"Eskildsgade 7, 3720 Denmark",55.07053,14.92273,1900-01-01,1900.0,2008.0,1900-01-01,,1900.0,
680,256,Aalborg Boulevard,6,Boulevarden 19,9000.0,10Dec1915 0:00:00.000,30May1999 0:00:00.000,80.0,,,"Boulevarden 19, 9000 Denmark",57.045359,9.9185,1915-12-10,1915.0,2008.0,1915-12-10,1999-05-30,1915.0,1999.0
681,181,Aalborg Budolfi Apotek,6,Algade 60,9000.0,01Jan1900 0:00:00.000,,1081.0,851.0,1081.0,"Algade 60, 9000 Denmark",57.048407,9.916179,1900-01-01,1900.0,2008.0,1900-01-01,,1900.0,
682,063,Aalborg Løve Apotek,6,Nytorv 3,9000.0,01-01-1813 00:00,,1081.0,851.0,1081.0,"Nytorv 3, 9000 Denmark",57.048682,9.922587,1813-01-01,1813.0,2008.0,1813-01-01,,1813.0,
683,092,Aalborg Nørresundby Apotek,6,Torvet 3A,9400.0,01-01-1844 00:00,,1081.0,851.0,1081.0,"Torvet 3A, 9400 Denmark",57.058676,9.923124,1844-01-01,1844.0,2008.0,1844-01-01,,1844.0,
684,255,Aalborg Reberbane Apotek,6,Reberbansgade 25,9000.0,01Jan1920 0:00:00.000,,1081.0,851.0,1081.0,"Reberbansgade 25, 9000 Denmark",57.049627,9.911455,1920-01-01,1920.0,2008.0,1920-01-01,,1920.0,
685,361-1,Aalborg Storcenter Apotek,7,Hobrovej 452,9200.0,01Sep2015 0:00:00.000,,1081.0,851.0,1081.0,"Hobrovej 452, 9200 Denmark",57.004796,9.875935,2015-09-01,2015.0,2015.0,2015-09-01,,2015.0,
686,361-A1,Aalborg Storcenter Apoteksudsalg,8,Hobrovej 452,9200.0,01Jan1900 0:00:00.000,01Sep2015 0:00:00.000,1081.0,851.0,1081.0,"Hobrovej 452, 9200 Denmark",57.004796,9.875935,1900-01-01,1900.0,2008.0,1900-01-01,2015-09-01,1900.0,2015.0
687,010,Aalborg Svane Apotek,6,Østerågade 9,9000.0,01-01-1753 00:00,31Dec2013 0:00:00.000,1081.0,851.0,1081.0,"Østerågade 9, 9000 Denmark",57.048437,9.921128,1753-01-01,1753.0,2008.0,1753-01-01,2013-12-31,1753.0,2013.0
688,306,Aalborg Vejgaard Apotek,6,Hadsundvej 33 B,9000.0,01Jan1922 0:00:00.000,,1081.0,851.0,1081.0,"Hadsundvej 33 B, 9000 Denmark",57.0410382,9.9515615,1922-01-01,1922.0,2008.0,1922-01-01,,1922.0,
689,306-1,Aalborg Ø Fyrkilden Apoteksfilial,7,"Fyrkildevej 7, stuen",9220.0,01Jul2015 0:00:00.000,,1081.0,851.0,1081.0,"Fyrkildevej 7, stuen, 9220 Denmark",56.9733,9.9233,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,
690,361,Aalborg Aalborghus Apotek,6,Grønlands Torv 10,9210.0,01Jan1966 0:00:00.000,,1081.0,851.0,1081.0,"Grønlands Torv 10, 9210 Denmark",57.022597,9.941768,1966-01-01,1966.0,2008.0,1966-01-01,,1966.0,
691,212-A1,Ålbæk Apoteksudsalg,8,Centralvej 2 C,9982.0,,,1081.0,813.0,1081.0,"Centralvej 2 C, 9982 Denmark",57.5934184,10.4122486,,,2008.0,,,,
692,259-1,Aalestrup Apotek,7,Jernbanegade 6,9620.0,01Jun2016 0:00:00.000,,1081.0,820.0,1081.0,"Jernbanegade 6, 9620 Denmark",56.694562,9.49549,2016-06-01,2016.0,2016.0,2016-06-01,,2016.0,
693,260,Aalestrup Apotek,13,Borgergade 5,9620.0,01Jan1905 0:00:00.000,01Jun2016 0:00:00.000,1081.0,820.0,1081.0,"Borgergade 5, 9620 Denmark",56.694251,9.496357,1905-01-01,1905.0,2008.0,1905-01-01,2016-06-01,1905.0,2016.0
694,364-1,Ålsgårde Apotek,7,Ålsgårdecentret,3140.0,01Jul2015 0:00:00.000,,1084.0,217.0,1084.0,"Ålsgårdecentret, 3140 Denmark",56.0753973,12.5399029,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,
695,364-A3,Ålsgårde Apoteksudsalg,8,Ålsgårdecentret,3140.0,01Jan1900 0:00:00.000,01Jul2015 0:00:00.000,1084.0,217.0,1084.0,"Ålsgårdecentret, 3140 Denmark",56.0753973,12.5399029,1900-01-01,1900.0,2008.0,1900-01-01,2015-07-01,1900.0,2015.0
696,326-4,Aarhus Ceres Apotek,7,Ceres Allé 12,8000.0,22Jan2019 0:00:00.000,,1082.0,751.0,1082.0,"Ceres Allé 12, 8000 Denmark",56.155243,10.189312,2019-01-22,2019.0,2019.0,2019-01-22,,2019.0,
697,366,Aarhus City Vest Apotek,6,Gudrunsvej 7 st. 129,8220.0,01Jan1998 0:00:00.000,,1082.0,751.0,1082.0,"Gudrunsvej 7 st. 129, 8220 Denmark",56.1531,10.1057,1998-01-01,1998.0,2008.0,1998-01-01,,1998.0,
698,132,Aarhus Jernbane Apotek,6,Banegårdspladsen 8,8000.0,01-01-1878 00:00,,1082.0,751.0,1082.0,"Banegårdspladsen 8, 8000 Denmark",56.150812,10.204054,1878-01-01,1878.0,2008.0,1878-01-01,,1878.0,
699,006,Aarhus Løve Apotek,6,Store Torv 5,8000.0,01-01-1753 00:00,,1082.0,751.0,1082.0,"Store Torv 5, 8000 Denmark",56.157192,10.208629,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
700,006-1,Aarhus Magasin Apotek,7,Immervad 2-8,8000.0,02Sep2019 0:00:00.000,,1082.0,751.0,1082.0,"Immervad 2-8, 8000 Denmark",56.157117,10.207091,2019-09-02,2019.0,2019.0,2019-09-02,,2019.0,
701,241,Aarhus Marselisborg Apotek,6,Rundhøj Torv 3,8270.0,01Jan1913 0:00:00.000,,1082.0,751.0,1082.0,"Rundhøj Torv 3, 8270 Denmark",56.1112,10.2099,1913-01-01,1913.0,2008.0,1913-01-01,,1913.0,
702,347,Aarhus Sct. Lukas Apotek,6,Frederiks Allé 178,8000.0,01Jan1939 0:00:00.000,,1082.0,751.0,1082.0,"Frederiks Allé 178, 8000 Denmark",56.146221,10.193331,1939-01-01,1939.0,2008.0,1939-01-01,,1939.0,
703,179,Aarhus Sct. Pauls Apotek,6,Jægergårdsgade 76,8000.0,01-01-1899 00:00,01Jul2011 0:00:00.000,1082.0,751.0,1082.0,"Jægergårdsgade 76, 8000 Denmark",56.148094,10.20175,1899-01-01,1899.0,2008.0,1899-01-01,2011-07-01,1899.0,2011.0
704,352,Aarhus Stjerne Apotek,6,Funch Thomsens Gade 3,8200.0,01Jan1953 0:00:00.000,,1082.0,751.0,1082.0,"Funch Thomsens Gade 3, 8200 Denmark",56.174689,10.203284,1953-01-01,1953.0,2008.0,1953-01-01,,1953.0,
705,040,Aarhus Svane Apotek,6,Vestergade 4,8000.0,01-01-1753 00:00,01Aug2005 0:00:00.000,70.0,751.0,,"Vestergade 4, 8000 Denmark",56.157698,10.206519,1753-01-01,1753.0,2008.0,1753-01-01,2005-08-01,1753.0,2005.0
706,317,Aarhus Trøjborg Apotek,13,Tordenskjoldsgade 30,8200.0,01Jan1924 0:00:00.000,,1082.0,751.0,1082.0,"Tordenskjoldsgade 30, 8200 Denmark",56.170728,10.216452,1924-01-01,1924.0,2008.0,1924-01-01,,1924.0,
707,178,Aarhus Vejlby Apotek,6,Vejlbygade 16 A,8240.0,01-01-1899 00:00,,1082.0,751.0,1082.0,"Vejlbygade 16 A, 8240 Denmark",56.195078,10.2138928,1899-01-01,1899.0,2008.0,1899-01-01,,1899.0,
708,331,Aarhus Viby Apotek,6,"Viby Ringvej 10, ST. 26",8260.0,01Jan1933 0:00:00.000,,1082.0,751.0,1082.0,"Viby Ringvej 10, ST. 26, 8260 Denmark",56.1663,10.1987,1933-01-01,1933.0,2008.0,1933-01-01,,1933.0,
709,337,Aarhus Åbyhøj Apotek,6,Haslevej 17,8230.0,01Jan1936 0:00:00.000,,1082.0,751.0,1082.0,"Haslevej 17, 8230 Denmark",56.156458,10.164773,1936-01-01,1936.0,2008.0,1936-01-01,,1936.0,
710,259,Aars Apotek,6,Søndergade 34,9600.0,01Jan1905 0:00:00.000,,1081.0,820.0,1081.0,"Søndergade 34, 9600 Denmark",56.802114,9.519024,1905-01-01,1905.0,2008.0,1905-01-01,,1905.0,
711,106,Aarup Apotek,6,Bredgade 25,5560.0,01-01-1859 00:00,31Dec2008 0:00:00.000,1083.0,420.0,1083.0,"Bredgade 25, 5560 Denmark",55.381312,10.049612,1859-01-01,1859.0,2008.0,1859-01-01,2008-12-31,1859.0,2008.0
712,189-1,Aarup Apotek,7,Bredgade 60,5560.0,01Jan2009 0:00:00.000,,1083.0,420.0,1083.0,"Bredgade 60, 5560 Denmark",55.37892,10.0475,2009-01-01,2009.0,2009.0,2009-01-01,,2009.0,
