VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
147,111,Frederiksberg Apotek,6,Gammel Kongevej 162,1850,01-01-1867 00:00,,1084,147,1084,"Gammel Kongevej 162, 1850 Denmark",55.6760515,12.5432969,1867-01-01,,1867,2025,2008,POINT (12.5432969 55.6760515),2014,23138067.12,7247595.21,38.82,0.1659915497,0.1750910923,226252.7426,0.5210863928,0.7462302263,0.8259470842,103192,2027141.2801,0
149,184,Frederiksberg Apoteke,6,Godthåbsvej 4,2000,"12Nov1901 0:00:00,000",,1084,147,1084,"Godthåbsvej 4, 2000 Denmark",55.685538,12.538161,1901-11-12,,1901,2025,2008,POINT (12.538161 55.685538),2014,23138067.12,7247595.21,38.82,0.1659915497,0.1750910923,226252.7426,0.5210863928,0.7462302263,0.8259470842,103192,2027141.2801,0
150,327,Frederiksberg Dalgas,6,Dalgas Boulevard 91,2000,01.03.1994,,1084,147,1084,"Dalgas Boulevard 91, 2000 Denmark",55.681633,12.510563,1994-01-03,,1994,2025,2008,POINT (12.510563 55.681633),2014,23138067.12,7247595.21,38.82,0.1659915497,0.1750910923,226252.7426,0.5210863928,0.7462302263,0.8259470842,103192,2027141.2801,0
152,262,Frederiksberg Gl. Kon,13,Gammel Kongevej 76,1850,"01Jan1916 0:00:00,000",,1084,147,1084,"Gammel Kongevej 76, 1850 Denmark",55.674336,12.551359,1916-01-01,,1916,2025,2008,POINT (12.551359 55.674336),2014,23138067.12,7247595.21,38.82,0.1659915497,0.1750910923,226252.7426,0.5210863928,0.7462302263,0.8259470842,103192,2027141.2801,0
154,185,Frederiksberg Smalleg,6,Smallegade 46,2000,"01Jan1900 0:00:00,000",,1084,147,1084,"Smallegade 46, 2000 Denmark",55.679679,12.523739,1900-01-01,,1900,2025,2008,POINT (12.523739 55.679679),2014,23138067.12,7247595.21,38.82,0.1659915497,0.1750910923,226252.7426,0.5210863928,0.7462302263,0.8259470842,103192,2027141.2801,0
59,225,Ballerup Apotek,6,Centrumgaden 24-26,2750,"01Jan1907 0:00:00,000",,1084,151,1084,"Centrumgaden 24-26, 2750 Denmark",55.7281229,12.3598013,1907-01-01,,1907,2025,2008,POINT (12.3598013 55.7281229),2014,21413556.5,6727363.28,41.12,0.2037017889,0.2178678523,181161.37857,0.4548093471,0.7336128732,0.8560617056,48355,1488671.3631,0
467,225-1,Maaløv Apotek,7,Stationsvej 7,2760,01.04.2000,,1084,151,1084,"Stationsvej 7, 2760 Denmark",55.748557,12.318699,2000-01-04,,2000,2025,2008,POINT (12.318699 55.748557),2014,21413556.5,6727363.28,41.12,0.2037017889,0.2178678523,181161.37857,0.4548093471,0.7336128732,0.8560617056,48355,1488671.3631,0
595,360,Skovlunde Apotek,6,Torvestrædet 2,2740,"01Jan1966 0:00:00,000",,1084,151,1084,"Torvestrædet 2, 2740 Denmark",55.8697314,12.3554134,1966-01-01,,1966,2025,2008,POINT (12.3554134 55.8697314),2014,21413556.5,6727363.28,41.12,0.2037017889,0.2178678523,181161.37857,0.4548093471,0.7336128732,0.8560617056,48355,1488671.3631,0
90,355-1,Brøndby Strand Apote,7,Brøndby Strand Centrum 16,2660,01.01.1992,,1084,153,1084,"Brøndby Strand Centrum 16, 2660 Denmark",55.621545,12.42262,1992-01-01,,1992,2025,2008,POINT (12.42262 55.621545),2014,,,40.76,0.1881312411,0.2089586305,158652.58662,0.4408937461,0.6817125788,0.6995765864,35050,1425263.0261,0
92,354,Brøndbyøster Apotek,6,Nygårds Plads 29A,2605,"01Jan1957 0:00:00,000",,1084,153,1084,"Nygårds Plads 29A, 2605 Denmark",55.667523,12.437595,1957-01-01,,1957,2025,2008,POINT (12.437595 55.667523),2014,,,40.76,0.1881312411,0.2089586305,158652.58662,0.4408937461,0.6817125788,0.6995765864,35050,1425263.0261,0
109,350-1,Dragør Apotek,7,Maglebytorv 18,2791,"01Sep2006 0:00:00,000",,1084,155,1084,"Maglebytorv 18, 2791 Denmark",55.59519,12.660578,2006-09-01,,2006,2025,2008,POINT (12.660578 55.59519),2014,,,43.37,0.2336755061,0.2264043342,227300.56675,0.4839539704,0.8065413136,0.9228789936,14028,2074727.8075,0
102,159,Charlottenlund Apotek,6,"Lindegårdsvej 51, st",2920,01-01-1894 00:00,,1084,157,1084,"Lindegårdsvej 51, st, 2920 Denmark",55.75463,12.569751,1894-01-01,,1894,2025,2008,POINT (12.569751 55.75463),2014,21035306.025,6807589.6125,40.89,0.1910398762,0.2298083596,309745.70589,0.4956561316,0.7662250584,0.8547046303,74932,3086477.2152,0
165,215,Gentofte Apotek,13,Gentoftegade 35,2820,"01Jan1904 0:00:00,000",,1084,157,1084,"Gentoftegade 35, 2820 Denmark",55.747369,12.541228,1904-01-01,,1904,2025,2008,POINT (12.541228 55.747369),2014,21035306.025,6807589.6125,40.89,0.1910398762,0.2298083596,309745.70589,0.4956561316,0.7662250584,0.8547046303,74932,3086477.2152,0
220,182,Hellerup Apotek,13,Strandvejen 165,2900,"01Jan1900 0:00:00,000",,1084,157,1084,"Strandvejen 165, 2900 Denmark",55.732495,12.575353,1900-01-01,,1900,2025,2008,POINT (12.575353 55.732495),2014,21035306.025,6807589.6125,40.89,0.1910398762,0.2298083596,309745.70589,0.4956561316,0.7662250584,0.8547046303,74932,3086477.2152,0
523,325,Ordrup Apotek,6,Ordrupvej 80,2920,"01Jan1930 0:00:00,000",,1084,157,1084,"Ordrupvej 80, 2920 Denmark",55.761535,12.574219,1930-01-01,,1930,2025,2008,POINT (12.574219 55.761535),2014,21035306.025,6807589.6125,40.89,0.1910398762,0.2298083596,309745.70589,0.4956561316,0.7662250584,0.8547046303,74932,3086477.2152,0
58,353,Bagsværd Apotek,6,Bagsværd Torv 6,2880,"01Jan1956 0:00:00,000",,1084,159,1084,"Bagsværd Torv 6, 2880 Denmark",55.76157,12.452301,1956-01-01,,1956,2025,2008,POINT (12.452301 55.76157),2014,26493757.1,8296693.33,39.19,0.1652486377,0.225177068,197940.74871,0.4883817922,0.7466103144,0.8216307197,67347,1523387.6071,0
