VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
5,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300,"21Sep2015 0:00:00,000",,1084,101,1084,"Strandlodsvej 41, 2300 Denmark",55.664181,12.622773,2015-09-21,,2015,2025,2015,POINT (12.622773 55.664181),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
9,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561,"01Aug2015 0:00:00,000",,1084,101,1084,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,,2015,2025,2015,POINT (12.5655 55.6759),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
10,090-3,Apotek Humletorvet,7,Humletorvet 23,1799,"01Nov2016 0:00:00,000",,1084,101,1084,"Humletorvet 23, 1799 Denmark",55.664466,12.536175,2016-11-01,,2016,2025,2016,POINT (12.536175 55.664466),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
11,090-6,Apotek Illum,7,Østergade 52,1001,"03Sep2018 0:00:00,000",25-AUG-2019,1084,101,1084,"Østergade 52, 1001 Denmark",56,10,2018-09-03,2019-08-25,2018,2019,2018,POINT (10 56),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
12,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500,"02May2016 0:00:00,000",,1084,101,1084,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.5116682,2016-05-02,,2016,2025,2016,POINT (12.5116682 55.6647453),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
14,090-4,Apotek Vesterbro,7,Vesterbrogade 60,1620,"13Feb2017 0:00:00,000",,1084,101,1084,"Vesterbrogade 60, 1620 Denmark",55.6727,12.553288,2017-02-13,,2017,2025,2017,POINT (12.553288 55.6727),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
95,341-4,Brønshøj Apotek,7,Højenhald 2,2700,"29Apr2016 0:00:00,000",,1084,101,1084,"Højenhald 2, 2700 Denmark",55.705346,12.507615,2016-04-29,,2016,2025,2016,POINT (12.507615 55.705346),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
137,029-2,Fields Apotek,7,Arne Jacobsens Allé 12,2300,"20Jul2015 0:00:00,000",,1084,101,1084,"Arne Jacobsens Allé 12, 2300 Denmark",55.6305777,12.5767812,2015-07-20,,2015,2025,2015,POINT (12.5767812 55.6305777),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
188,323-2,Gyldenrisparkens Apot,7,Amagerbrogade 264,2300,"01Sep2015 0:00:00,000",,1084,101,1084,"Amagerbrogade 264, 2300 Denmark",55.642544,12.615792,2015-09-01,,2015,2025,2015,POINT (12.615792 55.642544),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
266,183-1,Hovedbanens Apotek,7,Bernstorffsgade 16,1577,"04Sep2017 0:00:00,000",,1084,101,1084,"Bernstorffsgade 16, 1577 Denmark",55.6726833,12.5641888,2017-09-04,,2017,2025,2017,POINT (12.5641888 55.6726833),2018,19092228.826,6480332.0537,35.45,0.102926834,0.1753854643,219838.0219,0.5566014163,0.7398090288,0.7489703045,623404,2161067.0749,0
